,url
0,/boxscores/201910220TOR.html
1,/boxscores/201910220LAC.html
2,/boxscores/201910230CHO.html
3,/boxscores/201910230IND.html
4,/boxscores/201910230ORL.html
5,/boxscores/201910230BRK.html
6,/boxscores/201910230MIA.html
7,/boxscores/201910230PHI.html
8,/boxscores/201910230DAL.html
9,/boxscores/201910230SAS.html
10,/boxscores/201910230UTA.html
11,/boxscores/201910230PHO.html
12,/boxscores/201910230POR.html
13,/boxscores/201910240DET.html
14,/boxscores/201910240HOU.html
15,/boxscores/201910240GSW.html
16,/boxscores/201910250BOS.html
17,/boxscores/201910250CHO.html
18,/boxscores/201910250BRK.html
19,/boxscores/201910250MEM.html
20,/boxscores/201910250NOP.html
21,/boxscores/201910250OKC.html
22,/boxscores/201910250DEN.html
23,/boxscores/201910250SAC.html
24,/boxscores/201910250LAL.html
25,/boxscores/201910260MIL.html
26,/boxscores/201910260DET.html
27,/boxscores/201910260ATL.html
28,/boxscores/201910260NYK.html
29,/boxscores/201910260CHI.html
30,/boxscores/201910260CLE.html
31,/boxscores/201910260HOU.html
32,/boxscores/201910260SAS.html
33,/boxscores/201910260UTA.html
34,/boxscores/201910260PHO.html
35,/boxscores/201910270OKC.html
36,/boxscores/201910270MEM.html
37,/boxscores/201910270DAL.html
38,/boxscores/201910270MIN.html
39,/boxscores/201910270LAL.html
40,/boxscores/201910280NYK.html
41,/boxscores/201910280DET.html
42,/boxscores/201910280TOR.html
43,/boxscores/201910280ATL.html
44,/boxscores/201910280HOU.html
45,/boxscores/201910280MIL.html
46,/boxscores/201910280NOP.html
47,/boxscores/201910280SAS.html
48,/boxscores/201910280PHO.html
49,/boxscores/201910280SAC.html
50,/boxscores/201910280LAC.html
51,/boxscores/201910290MIA.html
52,/boxscores/201910290DEN.html
53,/boxscores/201910290LAL.html
54,/boxscores/201910300CLE.html
55,/boxscores/201910300ORL.html
56,/boxscores/201910300PHI.html
57,/boxscores/201910300BOS.html
58,/boxscores/201910300BRK.html
59,/boxscores/201910300TOR.html
60,/boxscores/201910300OKC.html
61,/boxscores/201910300WAS.html
62,/boxscores/201910300SAC.html
63,/boxscores/201910300UTA.html
64,/boxscores/201910300GSW.html
65,/boxscores/201910310ATL.html
66,/boxscores/201910310NOP.html
67,/boxscores/201910310LAC.html
68,/boxscores/201911010BRK.html
69,/boxscores/201911010IND.html
70,/boxscores/201911010ORL.html
71,/boxscores/201911010BOS.html
72,/boxscores/201911010CHI.html
73,/boxscores/201911010DAL.html
74,/boxscores/201911010SAC.html
75,/boxscores/201911010GSW.html
76,/boxscores/201911020OKC.html
77,/boxscores/201911020DET.html
78,/boxscores/201911020ORL.html
79,/boxscores/201911020MEM.html
80,/boxscores/201911020MIL.html
81,/boxscores/201911020WAS.html
82,/boxscores/201911020GSW.html
83,/boxscores/201911020POR.html
84,/boxscores/201911030IND.html
85,/boxscores/201911030MIA.html
86,/boxscores/201911030NYK.html
87,/boxscores/201911030SAS.html
88,/boxscores/201911030CLE.html
89,/boxscores/201911030LAC.html
90,/boxscores/201911040WAS.html
91,/boxscores/201911040BRK.html
92,/boxscores/201911040MEM.html
93,/boxscores/201911040MIN.html
94,/boxscores/201911040PHO.html
95,/boxscores/201911040GSW.html
96,/boxscores/201911050CHO.html
97,/boxscores/201911050CLE.html
98,/boxscores/201911050ATL.html
99,/boxscores/201911050CHI.html
100,/boxscores/201911050OKC.html
101,/boxscores/201911050DEN.html
102,/boxscores/201911060DET.html
103,/boxscores/201911060IND.html
104,/boxscores/201911060ATL.html
105,/boxscores/201911060HOU.html
106,/boxscores/201911060TOR.html
107,/boxscores/201911060MEM.html
108,/boxscores/201911060DAL.html
109,/boxscores/201911060UTA.html
110,/boxscores/201911060LAC.html
111,/boxscores/201911070CHO.html
112,/boxscores/201911070SAS.html
113,/boxscores/201911070PHO.html
114,/boxscores/201911070LAC.html
115,/boxscores/201911080IND.html
116,/boxscores/201911080ORL.html
117,/boxscores/201911080WAS.html
118,/boxscores/201911080ATL.html
119,/boxscores/201911080MIN.html
120,/boxscores/201911080NOP.html
121,/boxscores/201911080DAL.html
122,/boxscores/201911080DEN.html
123,/boxscores/201911080UTA.html
124,/boxscores/201911080POR.html
125,/boxscores/201911080LAL.html
126,/boxscores/201911090SAS.html
127,/boxscores/201911090CHO.html
128,/boxscores/201911090CHI.html
129,/boxscores/201911090MEM.html
130,/boxscores/201911090OKC.html
131,/boxscores/201911100MIN.html
132,/boxscores/201911100ORL.html
133,/boxscores/201911100PHI.html
134,/boxscores/201911100OKC.html
135,/boxscores/201911100NYK.html
136,/boxscores/201911100PHO.html
137,/boxscores/201911100POR.html
138,/boxscores/201911100LAL.html
139,/boxscores/201911110DET.html
140,/boxscores/201911110BOS.html
141,/boxscores/201911110SAS.html
142,/boxscores/201911110NOP.html
143,/boxscores/201911110GSW.html
144,/boxscores/201911110LAC.html
145,/boxscores/201911120IND.html
146,/boxscores/201911120PHI.html
147,/boxscores/201911120MIA.html
148,/boxscores/201911120CHI.html
149,/boxscores/201911120DEN.html
150,/boxscores/201911120PHO.html
151,/boxscores/201911120UTA.html
152,/boxscores/201911120SAC.html
153,/boxscores/201911130CHO.html
154,/boxscores/201911130ORL.html
155,/boxscores/201911130BOS.html
156,/boxscores/201911130HOU.html
157,/boxscores/201911130MIN.html
158,/boxscores/201911130LAL.html
159,/boxscores/201911130POR.html
160,/boxscores/201911140CLE.html
161,/boxscores/201911140MIL.html
162,/boxscores/201911140NOP.html
163,/boxscores/201911140NYK.html
164,/boxscores/201911140PHO.html
165,/boxscores/201911140DEN.html
166,/boxscores/201911150CHO.html
167,/boxscores/201911150ORL.html
168,/boxscores/201911150HOU.html
169,/boxscores/201911150MEM.html
170,/boxscores/201911150MIN.html
171,/boxscores/201911150OKC.html
172,/boxscores/201911150GSW.html
173,/boxscores/201911150LAL.html
174,/boxscores/201911160CHI.html
175,/boxscores/201911160IND.html
176,/boxscores/201911160NYK.html
177,/boxscores/201911160MIA.html
178,/boxscores/201911160MIN.html
179,/boxscores/201911160DAL.html
180,/boxscores/201911160SAS.html
181,/boxscores/201911160LAC.html
182,/boxscores/201911170CLE.html
183,/boxscores/201911170SAC.html
184,/boxscores/201911170MEM.html
185,/boxscores/201911170ORL.html
186,/boxscores/201911170NOP.html
187,/boxscores/201911170LAL.html
188,/boxscores/201911180NYK.html
189,/boxscores/201911180BRK.html
190,/boxscores/201911180TOR.html
191,/boxscores/201911180CHI.html
192,/boxscores/201911180HOU.html
193,/boxscores/201911180DAL.html
194,/boxscores/201911180PHO.html
195,/boxscores/201911180UTA.html
196,/boxscores/201911180LAC.html
197,/boxscores/201911190MEM.html
198,/boxscores/201911190NOP.html
199,/boxscores/201911190SAC.html
200,/boxscores/201911190LAL.html
201,/boxscores/201911200PHI.html
202,/boxscores/201911200WAS.html
203,/boxscores/201911200ATL.html
204,/boxscores/201911200BRK.html
205,/boxscores/201911200DAL.html
206,/boxscores/201911200MIA.html
207,/boxscores/201911200TOR.html
208,/boxscores/201911200CHI.html
209,/boxscores/201911200MIN.html
210,/boxscores/201911200DEN.html
211,/boxscores/201911200LAC.html
212,/boxscores/201911210MIL.html
213,/boxscores/201911210PHO.html
214,/boxscores/201911220DET.html
215,/boxscores/201911220WAS.html
216,/boxscores/201911220BRK.html
217,/boxscores/201911220CHI.html
218,/boxscores/201911220OKC.html
219,/boxscores/201911220PHI.html
220,/boxscores/201911220DAL.html
221,/boxscores/201911220DEN.html
222,/boxscores/201911220UTA.html
223,/boxscores/201911220LAC.html
224,/boxscores/201911230MIN.html
225,/boxscores/201911230CHO.html
226,/boxscores/201911230IND.html
227,/boxscores/201911230ATL.html
228,/boxscores/201911230NYK.html
229,/boxscores/201911230PHI.html
230,/boxscores/201911230CLE.html
231,/boxscores/201911230MEM.html
232,/boxscores/201911230MIL.html
233,/boxscores/201911230UTA.html
234,/boxscores/201911240HOU.html
235,/boxscores/201911240NYK.html
236,/boxscores/201911240WAS.html
237,/boxscores/201911240DEN.html
238,/boxscores/201911240LAC.html
239,/boxscores/201911250CLE.html
240,/boxscores/201911250DET.html
241,/boxscores/201911250IND.html
242,/boxscores/201911250ATL.html
243,/boxscores/201911250BOS.html
244,/boxscores/201911250MIA.html
245,/boxscores/201911250TOR.html
246,/boxscores/201911250CHI.html
247,/boxscores/201911250MIL.html
248,/boxscores/201911250SAS.html
249,/boxscores/201911250GSW.html
250,/boxscores/201911260DAL.html
251,/boxscores/201911260DEN.html
252,/boxscores/201911270BOS.html
253,/boxscores/201911270CHO.html
254,/boxscores/201911270CLE.html
255,/boxscores/201911270IND.html
256,/boxscores/201911270PHI.html
257,/boxscores/201911270TOR.html
258,/boxscores/201911270HOU.html
259,/boxscores/201911270MEM.html
260,/boxscores/201911270MIL.html
261,/boxscores/201911270SAS.html
262,/boxscores/201911270PHO.html
263,/boxscores/201911270NOP.html
264,/boxscores/201911270POR.html
265,/boxscores/201911270GSW.html
266,/boxscores/201911290BRK.html
267,/boxscores/201911290DET.html
268,/boxscores/201911290ORL.html
269,/boxscores/201911290CLE.html
270,/boxscores/201911290NYK.html
271,/boxscores/201911290IND.html
272,/boxscores/201911290MEM.html
273,/boxscores/201911290MIA.html
274,/boxscores/201911290OKC.html
275,/boxscores/201911290SAS.html
276,/boxscores/201911290PHO.html
277,/boxscores/201911290POR.html
278,/boxscores/201911290LAL.html
279,/boxscores/201911300SAC.html
280,/boxscores/201911300PHI.html
281,/boxscores/201911300HOU.html
282,/boxscores/201911300MIL.html
283,/boxscores/201912010BRK.html
284,/boxscores/201912010MIN.html
285,/boxscores/201912010NYK.html
