Starters,Adam Mokoka,Al-Farouq Aminu,Alex Caruso,Alfonzo McKinnie,Alize Johnson,Ayo Dosunmu,Chandler Hutchison,Coby White,Cristiano Felício,Daniel Gafford,Daniel Theis,DeMar DeRozan,Denzel Valentine,Derrick Jones Jr.,Devon Dotson,Ersan İlyasova,Garrett Temple,Javonte Green,Jordan Bell,Kris Dunn,Lauri Markkanen,Lonzo Ball,Luke Kornet,Mac McClung,Malcolm Hill,Marko Simonovic,Matt Thomas,Max Strus,Nikola Vučević,Otto Porter Jr.,Patrick Williams,Ryan Arcidiacono,Shaquille Harrison,Thaddeus Young,Tomáš Satoranský,Tony Bradley,Tristan Thompson,Troy Brown Jr.,Tyler Cook,Wendell Carter Jr.,Zach LaVine
Adam Mokoka,1.0,-0.017490800904016595,-0.06734762418826291,-0.02966976925283405,-0.022764084178425528,-0.0977173459755925,0.22682197043565835,0.10160394179054076,0.20057485702768454,0.14311474355361356,-0.03567721159850053,-0.11713506855022185,0.06568464218400276,-0.07527613098379453,0.02927433627258052,,-0.03353863595056937,-0.09100859397483403,,-0.07551088191156564,-0.07139609795100374,-0.06468765951362832,0.0025833294006048758,-0.011127642057524095,-0.031941346553553185,-0.020153773695192383,-0.054361084160996415,-0.011127642057524144,-0.13392766483248536,0.06271589625776999,-0.02257366257696029,0.2852982904876532,0.25445406930519854,0.10416805633224072,0.05018214796223343,-0.06506864865483031,-0.049323515764703,-0.08747596290038072,-0.03752600209227879,0.03250322257428019,0.0020239190179017798
Al-Farouq Aminu,-0.017490800904016595,1.0,-0.04265999679445407,-0.01879371806316333,-0.014419450868313755,-0.06189708570013409,-0.03490073344311672,0.09614858625802333,-0.015458185527022918,-0.05095565684512727,0.3195411092077439,-0.07419685117476611,0.061105590486068735,-0.04768214981854145,0.08428045825435142,,0.1028618677466983,-0.019437444529515426,,-0.04783084806806281,-0.0386026274662233,-0.04097509571797262,-0.0340092240753368,-0.0070485808553071416,-0.020232602976106122,-0.01276600223980723,-0.03443393444093177,-0.007048580855307137,0.05555514961704195,-0.03960400048237975,0.023958592384519542,-0.05230826361684962,-0.03240068412779254,0.04626338912125303,0.11849076046136402,-0.041216425619929734,-0.031242988149537968,0.00487822326937272,-0.023770090604685067,-0.06603454514781565,-0.15275079772804215
Alex Caruso,-0.06734762418826291,-0.04265999679445407,1.0,0.001122131817989028,0.22529246813251427,0.18858084317806048,-0.1343838679955472,-0.3556173693130899,-0.1095501299831059,-0.1962027037128783,-0.12257613560004894,0.44299027211684927,-0.2484971411981677,0.2405924050772996,-0.04530883749038586,,-0.1922996139433374,0.31176105589322733,,-0.18417075341324438,-0.310577944662948,0.5415186878156231,-0.13095114709322564,-0.027140276600758646,-0.07790482260147463,-0.025531058292415233,-0.004187679141201558,-0.027140276600758625,0.2576509200610056,-0.1524936082387506,-0.13243388993411573,-0.23028512270957152,-0.12475752883220376,-0.40093973056808707,-0.3498523113368277,0.21979403757923036,0.10219185281714926,-0.003001485686055339,-0.01153881649677592,-0.2542633556040701,-0.011948272627520018
Alfonzo McKinnie,-0.02966976925283405,-0.01879371806316333,0.001122131817989028,1.0,-0.024459816469422028,0.08719026958335196,-0.05920236092643129,0.0827969225956959,-0.04826194119529437,-0.0864364410193669,-0.05400050414534683,0.12875999449528394,-0.10947457951491442,-0.0023507699923972377,0.38678968659786434,,-0.08471694795289045,-0.02981743728691652,,-0.08113580579497055,-0.1368240686176285,0.38287393215028465,-0.057690087281906714,-0.011956557546137395,0.10782730752375273,0.5586919085090313,0.29282742198338774,-0.011956557546137394,0.16405152671743564,-0.06718054606244464,-0.1163753155446696,-0.10145133604199665,-0.054961509594726975,-0.17663264938634257,-0.15412625872173435,0.3612368983127999,-0.052997701720619884,0.14683395150948175,0.3937989472985122,-0.11201486587167206,-0.18664921839361132
Alize Johnson,-0.022764084178425528,-0.014419450868313755,0.22529246813251427,-0.024459816469422028,1.0,-0.013253523511208381,-0.045422919073160074,-0.20080014618733358,-0.03702889910001454,-0.06631822454299778,-0.041431802572063255,0.11203786383199339,-0.08399420036733879,0.10722772465016947,-0.0022284667479274987,,-0.06499894616991954,0.09481574575217967,,-0.06225132043535094,-0.1049780532199067,0.2692216997728547,-0.04426262947834014,-0.00917365012666765,-0.026332509290124952,-0.01661481090566905,-0.004732059320341314,-0.009173650126667645,0.01758756006024919,-0.051544169173880744,-0.006900055610808715,-0.07783837932791313,-0.04216913250406218,-0.13552112471872207,-0.11825313158821493,0.06790610558917931,-0.04066240397592713,0.20531202694651457,0.16853472064346478,-0.08594323111205938,0.044386145645677895
Ayo Dosunmu,-0.0977173459755925,-0.06189708570013409,0.18858084317806048,0.08719026958335196,-0.013253523511208381,1.0,-0.19498289777455535,-0.14239862381751578,-0.15895063979251559,-0.2846783047084726,-0.17785058931401138,0.602498394259446,-0.36055438351511826,0.4372558293473201,-0.027794597277987613,,-0.2790151565576505,0.5391194120626112,,-0.2672206695749177,-0.45062988987081193,0.1786661954468161,-0.19000222651713855,0.137290980305062,0.3150549456858863,-0.035021250247013365,0.38236877970616806,-0.03937890653805428,0.43153267800016926,-0.22125904001717403,-0.07699689757087773,-0.334129841699222,-0.18101565949643436,-0.5817393982267683,-0.507614630201305,0.4355574381128928,0.4257122180871653,0.4921835327532034,0.25084329021904633,-0.3689208132869532,-0.17640362142587837
Chandler Hutchison,0.22682197043565835,-0.03490073344311672,-0.1343838679955472,-0.05920236092643129,-0.045422919073160074,-0.19498289777455535,1.0,-0.011254723390204448,0.4262457385299866,-0.017163604057856018,-0.10028123198595248,-0.2337285654754497,-0.06330651395082547,-0.15020422429548333,-0.07011894008067085,,-0.13929039586872788,-0.18856294626524536,,0.37930726460314673,0.0497680626431746,-0.129076236939258,0.5079957850774324,-0.02220383568661394,-0.06373501293607298,-0.04021436682452214,-0.10847083094668854,-0.02220383568661389,-0.2795734818639199,-0.016345722661042207,-0.188075223147445,0.32469819475677425,0.13944709270991537,0.19974896849465024,0.3151724259002635,-0.12983645372605826,-0.0984189852498953,-0.17454748245205096,-0.07487850347137073,0.02497166191026628,0.07501751929776994
Coby White,0.10160394179054076,0.09614858625802333,-0.3556173693130899,0.0827969225956959,-0.20080014618733358,-0.14239862381751578,-0.011254723390204448,1.0,0.10330590080011816,0.17033650932637007,0.056840297350165304,-0.20709025030136957,0.15862717776788032,-0.24821583258776658,0.02507408536230959,,0.22266990671755324,-0.14745070927705556,,-0.05192287919113066,0.009826511955225974,-0.3188800326933779,-0.046382965926643226,0.03956621145659228,-0.003967594151354738,0.060439890009351675,0.0327706550922313,-0.0009403304368111416,-0.09600485553867673,0.1245665879794509,0.004398773424879149,0.08309689483020818,0.2004074797284227,0.20002978160467022,0.06675160392578586,-0.15610390890851433,-0.056691977390075074,-0.15981972544376602,0.031081127955268847,0.11160405157042859,-0.08280893316379984
Cristiano Felício,0.20057485702768454,-0.015458185527022918,-0.1095501299831059,-0.04826194119529437,-0.03702889910001454,-0.15895063979251559,0.4262457385299866,0.10330590080011816,1.0,0.04353487941117854,-0.06860180417349604,-0.19053622365929235,-0.015810896371978828,-0.12244693162223184,0.06708470302046984,,-0.05410444869682957,-0.12555583670217074,,0.10996495035936076,-0.02313277896187745,-0.10522333331627604,0.5404642438326223,-0.018100633073552266,-0.051956972631961196,-0.03278287177267945,-0.08842574489654502,-0.0181006330735523,-0.2045391353232712,-0.10170238459229625,-0.04505319806697471,0.26062004466466016,0.22768441609691412,0.22241971323276666,0.1301416905401278,-0.10584306430818394,-0.08023145030539432,-0.1359000255801962,-0.06104117935123671,-0.16454932964169802,0.05041601811718219
Daniel Gafford,0.14311474355361356,-0.05095565684512727,-0.1962027037128783,-0.0864364410193669,-0.06631822454299778,-0.2846783047084726,-0.017163604057856018,0.17033650932637007,0.04353487941117854,1.0,-0.14641228252154664,-0.3412476301302421,0.2958572889004487,-0.2193006895503704,-0.07834217227195484,,0.1027299287377261,-0.27530506770748125,,0.1446642392151249,0.27478073540637343,-0.1884534732502691,-0.026086706321110074,-0.03241797292703694,-0.09305418906119851,-0.05871365080319142,-0.15836923451576823,0.08630070721993192,-0.4081819778393486,0.23596528437376557,-0.028984736990576833,0.22183111354146012,0.18346354711848978,0.2528361583380124,0.2025763847534167,-0.18956340252379655,-0.1436933710179201,-0.2548422552065801,-0.10932387235307064,0.2292287387242817,0.05997326964761031
