Starters,Alex Len,Allen Crabbe,Bogdan Bogdanović,Brandon Goodwin,Bruno Fernando,Cam Reddish,Cameron Oliver,Cat Barber,Chandler Parsons,Charlie Brown Jr.,Chaundee Brown Jr.,Chris Clemons,Clint Capela,Damian Jones,Danilo Gallinari,De'Andre Hunter,DeAndre' Bembry,Delon Wright,Dewayne Dedmon,Evan Turner,Gorgui Dieng,Jabari Parker,Jalen Johnson,Jeff Teague,John Collins,Justin Tillman,Kevin Huerter,Kevin Knox,Kris Dunn,Lance Stephenson,Lou Williams,Malcolm Hill,Malik Ellison,Nathan Knight,Onyeka Okongwu,Paul Watson,Rajon Rondo,Sharife Cooper,Skylar Mays,Solomon Hill,Timothé Luwawu-Cabarrot,Tony Snell,Trae Young,Treveon Graham,Tyrone Wallace,Vince Carter,Wes Iwundu
Alex Len,1.0,0.008713371745389815,-0.04282753090394614,-0.032405844663227726,-0.032364646076268044,-0.03564754471530398,-0.019008756526270824,,-0.02098141484400428,0.15881546013048356,-0.020946664042439774,,-0.040881725329479014,0.15516431169995498,-0.039511442353745936,-0.0036044148936231414,0.16232696123066964,-0.03070777478968471,-0.03892729499223123,-0.02927349341330285,-0.0326702537284772,0.17135059795462676,-0.028555341125971443,-0.03880723840676355,-0.04215813953914997,,0.13818571853653186,-0.029476482067286813,-0.019091953246457093,-0.03288605398567648,-0.03701818995038618,-0.016923020197668916,,-0.028388648262926624,-0.03734714861036332,,-0.02987474225035564,-0.02307188159864694,-0.031963860707328935,-0.026607651867188418,-0.026925416772604422,-0.026723562146623945,0.1344133066086402,-0.017128540051051404,-0.028523761986776034,-0.027710874197203906,-0.020499289829623082
Allen Crabbe,0.008713371745389815,1.0,-0.051796088127515495,-0.0016062289290875097,-0.03914215984437634,-0.04311253365842079,-0.022989399749367496,,0.1584907189091563,-0.039602715198824405,-0.025333126468416196,,-0.04944280940967035,0.048352465848174306,-0.047785574068929165,-0.0490985732198486,0.20274899430705984,-0.03713832144032971,-0.04707909980861439,-0.01779857424584282,-0.03951176510884444,0.06328320502749166,-0.034535144432895695,-0.04693390205030521,-0.050986518829660196,,-0.05113384721731832,-0.03564918244459525,-0.0230900187801576,-0.03977275631949588,-0.04477020711961333,-0.02046688723447791,,-0.034333544246233944,-0.04516805335036372,,-0.03613084270154956,-0.027903388015324698,-0.038657445599785664,-0.03217958756646786,-0.032563895947020374,-0.03231977073654119,-0.04998281627241681,-0.020715445211393006,0.08215175847482824,0.003983201916827361,-0.02479206716231229
Bogdan Bogdanović,-0.04282753090394614,-0.051796088127515495,1.0,0.23571375555096147,-0.04190218343439168,0.10121166546859084,-0.024610446873001436,,-0.027164427858557612,-0.04239521383998229,0.03477068797644764,,0.2477249401709541,-0.041820900297101136,0.05971626828855659,-0.05256065147157666,-0.04248054258088909,-0.03975704875830134,-0.05039877932004361,-0.037900099011715004,-0.04229785060379757,-0.052681381911571436,-0.03697031443113667,-0.050243343260124494,-0.05458172142711833,,0.030325263939431187,-0.03816290639092413,-0.024718160834160466,0.08550636813315456,-0.047927080124866225,0.06338687230354834,,-0.03675449884928082,0.08276174136342175,,-0.038678529864953154,-0.029870934248589345,0.18013902979022195,0.04154717252506839,-0.03486006767985063,0.12568774467940055,-0.053507244984469314,-0.022176149415975333,-0.03692942923560112,-0.03587699154819499,-0.026540225426579783
Brandon Goodwin,-0.032405844663227726,-0.0016062289290875097,0.23571375555096147,1.0,-0.03170567200034069,0.01817563610228593,-0.018621720692883058,,-0.020554213865940252,-0.03207872798560524,-0.020520170622780526,,0.2717786467796388,0.12262115242545692,0.149621613284071,-0.039770499747138637,-0.03214329276122428,-0.03008253614291767,0.10263412904800179,-0.028677458059610486,-0.032005057198587636,-0.03986185154356528,-0.027973928015908825,-0.038017087202634,-0.04129976089412593,,-0.04141909885488226,-0.028876313677182755,-0.01870322345103199,-0.032216463563305035,-0.03626446542463126,-0.016578451881661987,,0.018672851016466478,-0.036586726182568405,,-0.02926646491521638,-0.02260211678736035,0.06446803792378464,-0.026065895508708265,-0.02637719042726221,0.24608679002966025,-0.04048674842387932,-0.016779787161076077,-0.027942991857144023,-0.027146655213495272,-0.020081905361990986
Bruno Fernando,-0.032364646076268044,-0.03914215984437634,-0.04190218343439168,-0.03170567200034069,1.0,0.09710809744896355,-0.01859804630367097,,-0.020528082636338183,-0.032037945272542036,-0.020494082673442538,,-0.03999841965469005,-0.03160393812433994,-0.03865774351963645,0.09915548445020621,0.014267745762176298,-0.030044291252400837,0.056998715022038016,-0.028640999489808302,-0.03196436814555269,0.18048172312082794,-0.0279383638663567,0.2290964967369783,0.06342551788878154,,0.18971681026402915,-0.02883960229587278,-0.01867944544475627,-0.03217550574259591,-0.03621836124966318,-0.01655737516545228,,-0.027775272630950816,-0.03654021230718989,,-0.029229257522156885,-0.022573381993263388,-0.031273237713230685,-0.02603275710191911,-0.026343656261284976,-0.02614616298099564,0.08183629652994209,-0.016758454480885056,0.09436858298310549,0.041421329281323326,-0.020056374593298825
Cam Reddish,-0.03564754471530398,-0.04311253365842079,0.10121166546859084,0.01817563610228593,0.09710809744896355,1.0,-0.020484533823267766,,-0.022610342840575903,-0.03528770510878069,0.08678205808395924,,-0.04405564793824771,-0.034809674569350815,-0.04257898070201587,-0.04374891883916415,-0.012957974608013685,0.2888459164412185,0.21601666363878017,0.015086417576060638,-0.03520666470691143,-0.04384940896006011,-0.030772283832532558,0.05107092874888632,0.25872266101067126,,0.08625374725173648,-0.03176493912496546,-0.02057418966300066,0.30746018853282475,-0.03989216038760018,0.13247607056468194,,-0.030592649484203698,-0.040246658315302324,,-0.032194118917934035,-0.024863106554115638,-0.03444542965641074,-0.028673382389736116,-0.029015817516612797,-0.028798291561794805,0.05617346111717804,-0.018458343528891193,-0.03073825299290012,-0.029862255270639963,-0.022090787226799382
Cameron Oliver,-0.019008756526270824,-0.022989399749367496,-0.024610446873001436,-0.018621720692883058,-0.01859804630367097,-0.020484533823267766,1.0,,-0.012056777134709679,-0.018816875051023675,0.9667162859392957,,0.15544468302531478,-0.018561969244502798,-0.022704887076105643,-0.023328746850389156,-0.018854747728396286,-0.017645940452289614,-0.022369212165525246,-0.016821743846289938,-0.018773660931223103,-0.023382332370981442,-0.016409064237144715,-0.022300222752499495,-0.024225787279677908,,-0.02429578904213568,-0.016938389410002128,-0.010971015399593493,0.606443363947356,0.20532261201199503,0.7552651877451355,,-0.016313275715988212,-0.02146119557522158,,-0.01716724596255546,-0.013258044635287649,-0.018367738676274115,-0.015289842511850761,-0.01547244319318314,-0.015356449288236745,0.18115482455254336,-0.009842758058686882,-0.016390917575148108,-0.01592379908064874,0.9373032133682084
Cat Barber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Parsons,-0.02098141484400428,0.1584907189091563,-0.027164427858557612,-0.020554213865940252,-0.020528082636338183,-0.022610342840575903,-0.012056777134709679,,1.0,-0.020769620620248723,-0.01328594322970577,,-0.025930252223428457,-0.020488261633648582,-0.025061116126752818,-0.02574971775677728,0.5460521140306841,-0.019477170767609315,-0.02469060611775369,-0.018567442091796067,-0.02072192189921974,-0.02580886418414218,-0.018111936121946327,-0.024614457239075755,-0.026739849717946886,,-0.02681711600392978,-0.01869619269989487,-0.01210954672604188,-0.020858798585659945,-0.02347970870926379,-0.010733846934569217,,-0.018006207022996584,-0.023688358930249842,,-0.018948799137472924,-0.014633915381516423,-0.020273874536746145,-0.016876565713137108,-0.017078116016574232,-0.016950084693973362,-0.0262134585039894,-0.010864203018912045,0.22494270124815785,0.32516177099357024,-0.013002184995846943
Charlie Brown Jr.,0.15881546013048356,-0.039602715198824405,-0.04239521383998229,-0.03207872798560524,-0.032037945272542036,-0.03528770510878069,-0.018816875051023675,,-0.020769620620248723,1.0,-0.020735220606231043,,-0.04046904995242177,-0.03197579708620291,-0.039112599123916514,-0.04018729186206127,-0.032480152269043064,-0.030397799062442447,-0.03853434836365169,-0.02897799585700457,-0.03234046800717265,0.13113915874066467,-0.028267092866604025,0.007182028947769719,-0.04173257956118583,,-0.041853168175601814,-0.029178935467836693,-0.018899231952498884,-0.0325540898961208,-0.03664451453985409,-0.01675219292252978,,-0.028102082663465467,-0.03697015256847457,,-0.02957317546413778,-0.022838985424099296,-0.031641205580538324,-0.0263390643093394,-0.026653621577330543,-0.026453804547200494,-0.040911046775904535,-0.016955638181890036,-0.028235832499013066,-0.027431150301850796,-0.02029236235550919
Chaundee Brown Jr.,-0.020946664042439774,-0.025333126468416196,0.03477068797644764,-0.020520170622780526,-0.020494082673442538,0.08678205808395924,0.9667162859392957,,-0.01328594322970577,-0.020735220606231043,1.0,,0.11485790919182452,-0.02045432762492106,-0.02501960825514452,-0.025707069377782846,-0.02077695433290672,-0.01944491139418691,-0.024649711909232232,-0.018536689470941444,-0.020687600886966345,-0.025766117842938082,-0.018081937940088624,-0.024573689153344,-0.026695561417166336,,-0.026772699729635894,-0.018665226833800706,-0.012089490096951741,0.6682691415304476,0.15479024286815515,0.8754354404312132,,-0.017976383956638184,-0.023649124709550537,,-0.01891741488795461,-0.01460967772674835,-0.020240295610052764,-0.016848613633139255,-0.017049830115685272,-0.01692201084699588,0.1349996335954252,-0.010846209010115522,-0.01806194125951621,-0.017547200899789592,0.8609141390810803
Chris Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,-0.040881725329479014,-0.04944280940967035,0.2477249401709541,0.2717786467796388,-0.03999841965469005,-0.04405564793824771,0.15544468302531478,,-0.025930252223428457,-0.04046904995242177,0.11485790919182452,,1.0,-0.03992082949661893,0.07567974706451554,-0.05017263594809487,-0.04055050190808746,-0.03795074600244625,-0.04810898526286978,-0.036178164023325195,-0.040376110270985914,-0.05028788117896846,-0.035290622831094354,-0.047960611210623824,0.11434224190319013,,0.2438884272414099,-0.03642903113764662,-0.02359512772609833,0.08881353169059125,0.06214114627398384,-0.0209146134981992,,-0.035084612511259675,0.1934279317586902,,-0.03692122802114114,-0.02851379249540712,-0.0395031019756241,-0.032883536649890605,-0.03327625202235009,0.1469780302453013,0.2053744550890024,-0.02116860884001729,-0.0352515951939963,-0.03424697345758498,0.21675268493169475
Damian Jones,0.15516431169995498,0.048352465848174306,-0.041820900297101136,0.12262115242545692,-0.03160393812433994,-0.034809674569350815,-0.018561969244502798,,-0.020488261633648582,-0.03197579708620291,-0.02045432762492106,,-0.03992082949661893,1.0,-0.038582754046145876,-0.03964288828728009,-0.03204015469305817,-0.02998601041711955,-0.03801233665226172,0.025607790719190695,-0.031902362686375384,-0.039733946963525224,-0.027884168173443028,-0.03789510191131637,-0.0411672424995113,,0.09363527121863398,-0.028783658353083,-0.018643210485044078,-0.032113090712248785,-0.03614810376452513,-0.016525256662585905,,-0.027721393307404817,-0.03646933048552437,,-0.029172557714238878,-0.022529593456311753,-0.031212572930008963,-0.025982257963303074,-0.026292554030968644,-0.026095443854186082,-0.040356838739461276,-0.016725945918211235,-0.027853331279419854,-0.027059549838302593,-0.020017468624301513
Danilo Gallinari,-0.039511442353745936,-0.047785574068929165,0.05971626828855659,0.149621613284071,-0.03865774351963645,-0.04257898070201587,-0.022704887076105643,,-0.025061116126752818,-0.039112599123916514,-0.02501960825514452,,0.07567974706451554,-0.038582754046145876,1.0,-0.04849093811530421,-0.03919132095439089,-0.03667870425899219,-0.04649645734350704,-0.03496553608615019,-0.03902277461587947,-0.04860232053029551,-0.03410774370163663,-0.04635305652651948,-0.05035551885007437,,-0.0505010239281256,-0.035207994579427505,-0.022804260863881893,-0.039280535846285713,0.01777695650742432,-0.020213592722054183,,-0.03390863848259743,0.050348239174750356,,-0.035683693895739485,-0.027558060707789357,-0.03817902801128942,-0.03178133878299317,-0.03216089103220252,0.3633006876265306,-0.04936423793501536,-0.020459074590186817,-0.034070024201762895,-0.033099075605400374,-0.024485245001623614
