,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,P.J. Tucker,Houston Rockets,38:21,6,10,0.6,5,8,0.625,0,0,0.0,2,5,7,0,1,0,2,5,17,-5,38:21,0.85,0.85,0.8,0.0,4.4,11.8,8.0,0.0,1.1,0.0,16.7,12.4,121.0,109.0,20191024
1,James Harden,Houston Rockets,36:26,2,13,0.154,1,8,0.125,14,14,1.0,2,5,7,14,1,1,7,5,19,-3,36:26,0.496,0.192,0.615,1.077,4.6,12.4,8.4,60.7,1.2,2.5,26.8,28.4,101.0,106.0,20191024
2,Russell Westbrook,Houston Rockets,32:52,7,17,0.412,3,7,0.429,7,11,0.636,4,12,16,7,2,1,3,3,24,0,32:52,0.549,0.5,0.412,0.647,10.2,33.1,21.2,44.9,2.7,2.8,12.1,29.9,113.0,100.0,20191024
3,Clint Capela,Houston Rockets,30:54,5,10,0.5,0,0,0.0,3,6,0.5,0,12,12,0,1,3,0,4,13,2,30:54,0.514,0.5,0.0,0.6,0.0,35.2,16.9,0.0,1.4,8.8,0.0,16.2,101.0,98.0,20191024
4,Danuel House Jr.,Houston Rockets,26:04,2,6,0.333,2,4,0.5,2,2,1.0,0,2,2,3,1,1,1,2,8,10,26:04,0.581,0.5,0.667,0.333,0.0,6.9,3.3,18.8,1.7,3.5,12.7,12.0,112.0,106.0,20191024
5,Eric Gordon,Houston Rockets,27:37,4,19,0.211,3,12,0.25,0,1,0.0,0,1,1,0,0,0,1,1,11,-22,27:37,0.283,0.289,0.632,0.053,0.0,3.3,1.6,0.0,0.0,0.0,4.9,29.3,53.0,113.0,20191024
6,Ben McLemore,Houston Rockets,14:44,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0,1,0,0,0,0,6,-5,14:44,0.6,0.6,1.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,13.4,117.0,114.0,20191024
7,Austin Rivers,Houston Rockets,12:07,0,3,0.0,0,3,0.0,3,4,0.75,0,2,2,0,0,0,0,2,3,-3,12:07,0.315,0.0,1.0,1.333,0.0,14.9,7.2,0.0,0.0,0.0,0.0,15.6,71.0,111.0,20191024
8,Tyson Chandler,Houston Rockets,10:31,5,6,0.833,0,0,0.0,0,1,0.0,1,4,5,0,0,0,0,3,10,-1,10:31,0.776,0.833,0.0,0.167,8.0,34.4,20.7,0.0,0.0,0.0,0.0,24.3,146.0,107.0,20191024
9,Thabo Sefolosha,Houston Rockets,10:24,0,1,0.0,0,1,0.0,0,0,0.0,1,4,5,0,0,0,0,0,0,-3,10:24,0.0,0.0,1.0,0.0,8.1,34.8,21.0,0.0,0.0,0.0,0.0,3.8,63.0,109.0,20191024
10,Chris Clemons,Houston Rockets,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191024
11,Gary Clark,Houston Rockets,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191024
12,Ryan Anderson,Houston Rockets,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191024
13,Team Totals,Houston Rockets,240,33,90,0.367,16,48,0.333,29,39,0.744,10,47,57,25,6,6,14,25,111,0,240,0.518,0.456,0.533,0.433,17.5,88.7,51.8,75.8,5.5,11.3,11.6,100.0,101.1,106.5,20191024
14,P.J. Tucker,Houston Rockets,38:16,6,9,0.667,2,3,0.667,2,2,1.0,2,3,5,3,1,1,2,3,16,16,38:16,0.81,0.778,0.333,0.222,6.0,8.4,7.2,10.6,1.1,2.5,16.8,11.8,140.0,111.0,20191026
15,James Harden,Houston Rockets,36:05,8,29,0.276,2,18,0.111,11,12,0.917,0,4,4,5,1,0,8,3,29,7,36:05,0.423,0.31,0.621,0.414,0.0,11.8,6.1,20.6,1.2,0.0,18.9,44.6,79.0,112.0,20191026
16,Russell Westbrook,Houston Rockets,33:35,9,17,0.529,1,3,0.333,9,10,0.9,0,10,10,13,1,0,4,3,28,-7,33:35,0.654,0.559,0.176,0.588,0.0,31.8,16.4,61.7,1.3,0.0,15.7,28.8,130.0,108.0,20191026
17,Danuel House Jr.,Houston Rockets,30:06,4,6,0.667,4,5,0.8,3,3,1.0,1,7,8,0,0,1,0,1,15,0,30:06,1.025,1.0,0.833,0.5,3.8,24.8,14.7,0.0,0.0,3.2,0.0,9.2,200.0,110.0,20191026
18,Clint Capela,Houston Rockets,24:35,7,9,0.778,0,0,0.0,1,1,1.0,2,4,6,2,1,2,2,5,15,2,24:35,0.794,0.778,0.0,0.111,9.3,17.4,13.5,13.3,1.7,7.8,17.5,17.7,133.0,104.0,20191026
19,Eric Gordon,Houston Rockets,36:10,5,13,0.385,2,9,0.222,1,1,1.0,0,2,2,1,1,0,0,2,13,0,36:10,0.484,0.462,0.692,0.077,0.0,5.9,3.1,3.6,1.2,0.0,0.0,14.1,103.0,113.0,20191026
20,Austin Rivers,Houston Rockets,16:24,3,6,0.5,2,4,0.5,0,1,0.0,1,1,2,0,0,0,0,3,8,0,16:24,0.621,0.667,0.667,0.167,7.0,6.5,6.7,0.0,0.0,0.0,0.0,14.9,124.0,116.0,20191026
21,Thabo Sefolosha,Houston Rockets,13:53,0,2,0.0,0,1,0.0,0,0,0.0,2,4,6,3,1,0,1,1,0,-1,13:53,0.0,0.0,0.5,0.0,16.5,30.7,23.8,24.1,3.1,0.0,33.3,8.2,82.0,104.0,20191026
22,Tyson Chandler,Houston Rockets,6:54,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,1,1,2,-2,6:54,1.0,1.0,0.0,0.0,16.6,15.5,16.0,0.0,6.2,0.0,50.0,11.0,101.0,99.0,20191026
23,Ben McLemore,Houston Rockets,4:02,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,4:02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,28.3,0.0,118.0,20191026
24,Ryan Anderson,Houston Rockets,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191026
25,Gary Clark,Houston Rockets,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191026
26,Chris Clemons,Houston Rockets,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191026
27,Team Totals,Houston Rockets,240,43,94,0.457,13,45,0.289,27,30,0.9,9,36,45,27,7,4,19,22,126,0,240,0.588,0.527,0.479,0.319,21.4,80.0,51.7,62.8,6.2,8.0,15.1,100.0,111.9,109.3,20191026
28,Danuel House Jr.,Houston Rockets,37:02,3,11,0.273,1,8,0.125,2,3,0.667,0,5,5,0,0,1,0,1,9,17,37:02,0.365,0.318,0.727,0.273,0.0,13.8,7.0,0.0,0.0,2.2,0.0,13.5,79.0,114.0,20191028
29,James Harden,Houston Rockets,36:52,8,21,0.381,3,14,0.214,21,22,0.955,0,3,3,7,1,1,4,5,40,-4,36:52,0.652,0.452,0.667,1.048,0.0,8.3,4.2,31.9,1.3,2.2,11.5,38.1,128.0,113.0,20191028
30,Russell Westbrook,Houston Rockets,35:29,9,16,0.563,0,1,0.0,3,4,0.75,5,7,12,9,1,0,5,4,21,18,35:29,0.591,0.563,0.063,0.25,15.0,20.1,17.6,45.4,1.3,0.0,22.0,26.0,114.0,109.0,20191028
31,P.J. Tucker,Houston Rockets,33:24,6,9,0.667,5,7,0.714,0,0,0.0,1,8,9,1,1,1,0,4,17,16,33:24,0.944,0.944,0.778,0.0,3.2,24.5,14.1,4.7,1.4,2.4,0.0,10.9,182.0,106.0,20191028
32,Clint Capela,Houston Rockets,30:05,7,11,0.636,0,0,0.0,1,3,0.333,2,5,7,1,1,3,5,3,15,3,30:05,0.609,0.636,0.0,0.273,7.1,17.0,12.1,5.7,1.6,8.1,28.9,23.3,87.0,106.0,20191028
