,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Jayson Tatum,Boston Celtics,37:13,8,22,0.364,4,8,0.5,1,3,0.333,1,9,10,2,2,0,4,2,21,-4,37:13,0.45,0.455,0.364,0.136,2.1,27.0,12.5,11.4,2.5,0.0,14.6,30.7,78.0,99.0,20191023
1,Gordon Hayward,Boston Celtics,35:11,8,15,0.533,0,0,0.0,9,11,0.818,0,5,5,2,0,0,1,4,25,-11,35:11,0.63,0.533,0.0,0.733,0.0,15.9,6.6,12.4,0.0,0.0,4.8,24.7,124.0,108.0,20191023
2,Kemba Walker,Boston Celtics,34:15,4,18,0.222,1,6,0.167,3,4,0.75,2,0,2,2,0,0,3,4,12,-16,34:15,0.304,0.25,0.333,0.222,4.7,0.0,2.7,10.2,0.0,0.0,13.2,27.7,62.0,112.0,20191023
3,Enes Freedom,Boston Celtics,24:58,5,8,0.625,0,1,0.0,2,7,0.286,3,3,6,2,0,0,0,3,12,-12,24:58,0.542,0.625,0.125,0.875,9.6,13.4,11.2,16.4,0.0,0.0,0.0,18.5,119.0,108.0,20191023
4,Jaylen Brown,Boston Celtics,20:52,3,6,0.5,1,2,0.5,1,3,0.333,0,7,7,0,1,0,1,5,8,-12,20:52,0.546,0.583,0.333,0.5,0.0,37.4,15.6,0.0,2.3,0.0,12.0,16.6,90.0,96.0,20191023
5,Marcus Smart,Boston Celtics,33:01,2,7,0.286,0,4,0.0,0,0,0.0,1,3,4,8,0,0,1,4,4,-13,33:01,0.286,0.286,0.571,0.0,2.4,10.1,5.6,38.6,0.0,0.0,12.5,10.1,87.0,109.0,20191023
6,Carsen Edwards,Boston Celtics,11:25,1,5,0.2,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,0,3,-1,11:25,0.3,0.3,0.6,0.0,7.0,0.0,4.1,0.0,0.0,0.0,0.0,18.3,71.0,113.0,20191023
7,Robert Williams,Boston Celtics,10:46,2,4,0.5,0,0,0.0,1,2,0.5,1,2,3,1,1,1,0,4,5,7,10:46,0.512,0.5,0.0,0.5,7.4,20.7,13.0,18.5,4.4,8.0,0.0,18.9,115.0,91.0,20191023
8,Daniel Theis,Boston Celtics,9:52,0,1,0.0,0,1,0.0,3,4,0.75,1,0,1,0,0,1,0,1,3,-7,9:52,0.543,0.0,1.0,4.0,8.1,0.0,4.7,0.0,0.0,8.7,0.0,11.7,131.0,108.0,20191023
9,Semi Ojeleye,Boston Celtics,9:45,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,9:45,0.0,0.0,1.0,0.0,0.0,11.4,4.8,0.0,0.0,0.0,0.0,4.3,0.0,109.0,20191023
10,Grant Williams,Boston Celtics,7:12,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,0,7:12,0.0,0.0,0.0,0.0,0.0,15.5,6.5,0.0,0.0,0.0,0.0,5.8,0.0,107.0,20191023
11,Brad Wanamaker,Boston Celtics,5:30,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,5:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,15.2,23.0,113.0,20191023
12,Vincent Poirier,Boston Celtics,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
13,Team Totals,Boston Celtics,240,33,90,0.367,7,26,0.269,20,34,0.588,10,31,41,18,4,2,10,29,93,0,240,0.443,0.406,0.289,0.378,16.7,72.1,39.8,54.5,3.9,3.6,8.7,100.0,91.4,105.2,20191023
14,Jaylen Brown,Boston Celtics,38:04,11,20,0.55,2,7,0.286,1,1,1.0,0,9,9,4,0,2,1,2,25,2,38:04,0.612,0.6,0.35,0.05,0.0,28.4,11.1,17.9,0.0,6.0,4.7,21.6,130.0,106.0,20191025
15,Gordon Hayward,Boston Celtics,36:54,5,12,0.417,3,4,0.75,2,2,1.0,3,5,8,2,0,0,3,2,15,9,36:54,0.582,0.542,0.333,0.167,6.3,16.3,10.2,7.3,0.0,0.0,18.9,16.5,109.0,112.0,20191025
16,Kemba Walker,Boston Celtics,36:13,8,22,0.364,2,8,0.25,4,4,1.0,3,3,6,2,2,2,2,3,22,7,36:13,0.463,0.409,0.364,0.182,6.4,9.9,7.8,8.4,2.6,6.3,7.8,27.3,104.0,102.0,20191025
17,Jayson Tatum,Boston Celtics,35:10,8,22,0.364,4,7,0.571,5,5,1.0,3,6,9,4,3,0,0,0,25,9,35:10,0.517,0.455,0.318,0.227,6.6,20.5,12.0,17.6,4.0,0.0,0.0,26.4,129.0,102.0,20191025
18,Daniel Theis,Boston Celtics,14:59,0,7,0.0,0,1,0.0,1,2,0.5,3,3,6,1,0,2,0,3,1,3,14:59,0.063,0.0,0.143,0.286,15.5,24.0,18.8,7.6,0.0,15.3,0.0,20.2,48.0,100.0,20191025
19,Marcus Smart,Boston Celtics,28:06,4,11,0.364,2,7,0.286,0,0,0.0,0,1,1,3,1,0,0,1,10,-2,28:06,0.455,0.455,0.636,0.0,0.0,4.3,1.7,14.6,1.7,0.0,0.0,15.0,114.0,110.0,20191025
20,Grant Williams,Boston Celtics,21:53,2,9,0.222,0,3,0.0,0,0,0.0,6,1,7,4,1,0,1,3,4,5,21:53,0.222,0.222,0.333,0.0,21.2,5.5,15.1,23.3,2.2,0.0,10.0,17.5,90.0,108.0,20191025
21,Robert Williams,Boston Celtics,14:39,3,3,1.0,0,0,0.0,0,0,0.0,2,4,6,1,2,1,1,4,6,-3,14:39,1.0,1.0,0.0,0.0,10.6,32.8,19.3,10.2,6.5,7.8,25.0,10.5,150.0,89.0,20191025
22,Brad Wanamaker,Boston Celtics,9:38,1,3,0.333,0,1,0.0,2,2,1.0,1,2,3,0,1,1,1,2,4,0,9:38,0.515,0.333,0.333,0.667,8.0,24.9,14.7,0.0,4.9,11.9,20.5,19.4,98.0,90.0,20191025
23,Semi Ojeleye,Boston Celtics,4:20,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,4:20,0.0,0.0,0.0,0.0,0.0,27.7,10.9,0.0,0.0,0.0,0.0,0.0,0.0,111.0,20191025
24,Javonte Green,Boston Celtics,0:04,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,20191025
25,Carsen Edwards,Boston Celtics,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191025
26,Vincent Poirier,Boston Celtics,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191025
27,Team Totals,Boston Celtics,240,42,109,0.385,13,38,0.342,15,16,0.938,21,35,56,21,10,8,9,20,112,0,240,0.483,0.445,0.349,0.147,33.9,87.5,54.9,50.0,9.9,19.0,7.2,100.0,110.7,104.7,20191025
28,Jayson Tatum,Boston Celtics,33:32,5,17,0.294,2,7,0.286,3,4,0.75,2,7,9,0,3,2,2,3,15,20,33:32,0.4,0.353,0.412,0.235,5.5,20.4,12.8,0.0,4.2,5.2,9.6,25.2,82.0,86.0,20191026
29,Kemba Walker,Boston Celtics,30:21,11,17,0.647,7,12,0.583,3,4,0.75,3,3,6,4,2,0,0,2,32,13,30:21,0.853,0.853,0.706,0.235,9.1,9.7,9.4,25.7,3.1,0.0,0.0,25.2,175.0,96.0,20191026
30,Jaylen Brown,Boston Celtics,27:06,6,14,0.429,1,5,0.2,6,8,0.75,1,3,4,2,1,1,2,4,19,20,27:06,0.542,0.464,0.357,0.571,3.4,10.8,7.0,11.3,1.7,3.2,10.2,29.4,108.0,97.0,20191026
