,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Taurean Prince,Brooklyn Nets,41:14,6,13,0.462,2,5,0.4,1,2,0.5,3,8,11,2,2,1,0,2,15,19,41:14,0.54,0.538,0.385,0.154,7.7,20.6,14.1,6.4,2.2,2.0,0.0,13.9,126.0,107.0,20191023
1,Joe Harris,Brooklyn Nets,39:18,5,9,0.556,4,6,0.667,0,0,0.0,0,4,4,2,0,1,2,3,14,1,39:18,0.778,0.778,0.667,0.0,0.0,10.8,5.4,6.5,0.0,2.1,18.2,11.5,127.0,115.0,20191023
2,Kyrie Irving,Brooklyn Nets,38:10,17,33,0.515,7,14,0.5,9,10,0.9,2,6,8,7,0,1,0,4,50,18,38:10,0.668,0.621,0.424,0.303,5.6,16.7,11.1,39.8,0.0,2.1,0.0,40.4,147.0,113.0,20191023
3,Caris LeVert,Brooklyn Nets,37:18,9,19,0.474,1,4,0.25,1,4,0.25,0,5,5,4,3,0,5,3,20,9,37:18,0.482,0.5,0.211,0.211,0.0,14.2,7.1,16.1,3.7,0.0,19.4,28.5,85.0,107.0,20191023
4,Jarrett Allen,Brooklyn Nets,36:22,3,6,0.5,0,0,0.0,0,4,0.0,3,6,9,1,1,5,0,4,6,11,36:22,0.387,0.5,0.0,0.667,8.7,17.5,13.1,3.3,1.3,11.2,0.0,8.8,102.0,104.0,20191023
5,Spencer Dinwiddie,Brooklyn Nets,18:33,6,13,0.462,1,3,0.333,1,2,0.5,1,2,3,2,0,0,5,4,14,-7,18:33,0.504,0.5,0.231,0.154,5.7,11.4,8.6,18.5,0.0,0.0,26.5,42.0,81.0,116.0,20191023
6,Garrett Temple,Brooklyn Nets,17:02,2,6,0.333,0,2,0.0,0,0,0.0,0,0,0,0,2,0,1,2,4,-15,17:02,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,5.4,0.0,14.3,17.0,59.0,107.0,20191023
7,DeAndre Jordan,Brooklyn Nets,16:38,0,1,0.0,0,0,0.0,2,2,1.0,1,2,3,1,0,0,1,4,2,-12,16:38,0.532,0.0,0.0,2.0,6.4,12.7,9.6,6.6,0.0,0.0,34.7,7.1,103.0,116.0,20191023
8,David Nwaba,Brooklyn Nets,13:05,0,0,0.0,0,0,0.0,1,2,0.5,0,3,3,0,0,1,1,2,1,-13,13:05,0.568,0.0,0.0,0.0,0.0,24.3,12.2,0.0,0.0,6.2,53.2,5.9,53.0,108.0,20191023
9,Rodions Kurucs,Brooklyn Nets,7:20,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,0,-16,7:20,0.0,0.0,0.0,0.0,0.0,28.9,14.5,0.0,0.0,0.0,50.0,11.3,0.0,111.0,20191023
10,Wilson Chandler,Brooklyn Nets,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
