,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Buddy Hield,Sacramento Kings,31:10,10,19,0.526,6,12,0.5,2,2,1.0,2,3,5,2,0,0,5,2,28,-15,31:10,0.704,0.684,0.632,0.105,6.6,10.5,8.5,16.6,0.0,0.0,20.1,30.8,112.0,119.0,20191023
1,Harrison Barnes,Sacramento Kings,30:10,5,11,0.455,1,3,0.333,1,3,0.333,0,6,6,1,1,0,4,3,12,-20,30:10,0.487,0.5,0.273,0.273,0.0,21.7,10.5,6.1,1.5,0.0,24.5,20.9,75.0,113.0,20191023
2,Marvin Bagley III,Sacramento Kings,27:42,6,16,0.375,0,0,0.0,2,4,0.5,4,6,10,0,1,1,1,1,14,-21,27:42,0.394,0.375,0.0,0.25,14.7,23.6,19.0,0.0,1.6,2.7,5.3,26.1,88.0,111.0,20191023
3,De'Aaron Fox,Sacramento Kings,26:33,3,7,0.429,0,1,0.0,2,4,0.5,0,1,1,5,0,0,5,5,8,-17,26:33,0.457,0.429,0.143,0.571,0.0,4.1,2.0,31.6,0.0,0.0,36.3,20.0,73.0,120.0,20191023
4,Dewayne Dedmon,Sacramento Kings,14:13,1,3,0.333,0,1,0.0,1,1,1.0,1,5,6,1,0,1,2,3,3,-7,14:13,0.436,0.333,0.333,0.333,7.2,38.4,22.3,11.0,0.0,5.2,36.8,14.8,71.0,109.0,20191023
5,Bogdan Bogdanović,Sacramento Kings,22:04,1,10,0.1,0,3,0.0,0,0,0.0,0,2,2,2,0,0,1,2,2,-24,22:04,0.1,0.1,0.3,0.0,0.0,9.9,4.8,13.7,0.0,0.0,9.1,19.2,33.0,119.0,20191023
6,Trevor Ariza,Sacramento Kings,21:13,2,5,0.4,1,2,0.5,2,2,1.0,1,2,3,0,0,0,1,2,7,-9,21:13,0.595,0.5,0.4,0.4,4.8,10.3,7.5,0.0,0.0,0.0,14.5,12.5,111.0,119.0,20191023
7,Cory Joseph,Sacramento Kings,20:53,3,6,0.5,0,1,0.0,4,4,1.0,0,1,1,4,1,1,3,2,10,-12,20:53,0.644,0.5,0.167,0.667,0.0,5.2,2.5,33.9,2.1,3.5,27.9,19.9,107.0,112.0,20191023
8,Nemanja Bjelica,Sacramento Kings,20:40,2,6,0.333,1,4,0.25,0,0,0.0,1,3,4,2,2,0,1,0,5,-9,20:40,0.417,0.417,0.667,0.0,4.9,15.8,10.2,15.8,4.3,0.0,14.3,13.1,91.0,108.0,20191023
9,Richaun Holmes,Sacramento Kings,17:25,0,2,0.0,0,0,0.0,1,2,0.5,1,4,5,0,0,1,1,3,1,-8,17:25,0.174,0.0,0.0,1.0,5.9,25.1,15.1,0.0,0.0,4.2,25.8,8.6,41.0,112.0,20191023
10,Yogi Ferrell,Sacramento Kings,3:59,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,-5,3:59,0.75,0.75,1.0,0.0,0.0,27.4,13.2,0.0,0.0,0.0,0.0,19.4,144.0,116.0,20191023
11,Wenyen Gabriel,Sacramento Kings,1:59,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,1,0,1,1,1:59,0.568,0.0,0.0,0.0,51.5,0.0,26.6,0.0,0.0,0.0,53.2,36.6,71.0,121.0,20191023
12,Caleb Swanigan,Sacramento Kings,1:59,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,0,0,1,1,1,1,1,1:59,0.568,0.0,0.0,0.0,51.5,55.0,53.2,0.0,0.0,37.2,53.2,36.6,71.0,79.0,20191023
13,Team Totals,Sacramento Kings,240,34,87,0.391,10,29,0.345,17,26,0.654,12,35,47,17,5,5,26,24,95,0,240,0.483,0.448,0.333,0.299,25.5,79.5,51.6,50.0,4.6,7.7,20.9,100.0,87.4,114.1,20191023
14,De'Aaron Fox,Sacramento Kings,34:07,7,18,0.389,3,5,0.6,11,14,0.786,0,6,6,5,0,0,3,3,28,-16,34:07,0.579,0.472,0.278,0.778,0.0,24.1,10.2,25.9,0.0,0.0,11.0,33.0,119.0,124.0,20191025
15,Harrison Barnes,Sacramento Kings,33:29,5,10,0.5,2,3,0.667,1,1,1.0,3,2,5,1,1,0,0,0,13,-14,33:29,0.623,0.6,0.3,0.1,9.0,8.2,8.6,4.8,1.4,0.0,0.0,12.9,144.0,122.0,20191025
16,Buddy Hield,Sacramento Kings,31:39,7,18,0.389,4,11,0.364,3,3,1.0,1,4,5,1,0,0,3,3,21,-8,31:39,0.543,0.5,0.611,0.167,3.2,17.3,9.1,5.7,0.0,0.0,13.4,29.2,102.0,124.0,20191025
17,Nemanja Bjelica,Sacramento Kings,27:58,3,5,0.6,1,2,0.5,2,2,1.0,2,5,7,1,1,0,2,2,9,0,27:58,0.765,0.7,0.4,0.4,7.2,24.5,14.5,5.4,1.7,0.0,25.4,11.7,125.0,120.0,20191025
18,Dewayne Dedmon,Sacramento Kings,20:54,3,9,0.333,0,4,0.0,0,0,0.0,3,5,8,0,1,0,4,5,6,-9,20:54,0.333,0.333,0.444,0.0,14.4,32.8,22.1,0.0,2.3,0.0,30.8,25.8,60.0,118.0,20191025
19,Bogdan Bogdanović,Sacramento Kings,28:42,5,11,0.455,4,6,0.667,2,3,0.667,0,1,1,3,3,0,2,3,16,-16,28:42,0.649,0.636,0.545,0.273,0.0,4.8,2.0,17.5,4.9,0.0,14.0,20.7,121.0,115.0,20191025
20,Trevor Ariza,Sacramento Kings,21:13,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,2,1,0,1,1,0,-12,21:13,0.0,0.0,0.75,0.0,0.0,6.5,2.7,12.2,2.2,0.0,20.0,9.8,28.0,120.0,20191025
