,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Justise Winslow,Miami Heat,36:58,10,21,0.476,1,2,0.5,6,9,0.667,2,5,7,7,1,1,3,2,27,22,36:58,0.541,0.5,0.095,0.429,6.2,13.2,10.0,33.6,1.2,2.3,10.7,29.5,114.0,92.0,20191023
1,Tyler Herro,Miami Heat,33:54,6,14,0.429,1,2,0.5,1,1,1.0,0,8,8,1,2,0,1,2,14,10,33:54,0.485,0.464,0.143,0.071,0.0,23.1,12.4,4.5,2.5,0.0,6.5,17.8,99.0,89.0,20191023
2,Kendrick Nunn,Miami Heat,26:31,10,18,0.556,1,2,0.5,3,3,1.0,0,2,2,3,2,0,1,5,24,27,26:31,0.621,0.583,0.111,0.167,0.0,7.4,4.0,24.8,3.2,0.0,4.9,29.9,128.0,90.0,20191023
3,Bam Adebayo,Miami Heat,24:03,3,7,0.429,0,0,0.0,8,10,0.8,4,7,11,3,1,0,5,3,14,10,24:03,0.614,0.429,0.0,1.429,19.0,28.5,24.1,17.6,1.8,0.0,30.5,26.6,105.0,89.0,20191023
4,Meyers Leonard,Miami Heat,18:41,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,0,4,0,-6,18:41,0.0,0.0,1.0,0.0,0.0,15.7,8.5,0.0,2.3,0.0,0.0,4.2,0.0,90.0,20191023
5,Goran Dragić,Miami Heat,25:07,4,9,0.444,2,4,0.5,9,10,0.9,0,3,3,3,1,2,4,1,19,0,25:07,0.709,0.556,0.444,1.111,0.0,11.7,6.3,17.7,1.7,6.7,23.0,27.0,119.0,88.0,20191023
6,Duncan Robinson,Miami Heat,22:56,1,5,0.2,1,5,0.2,0,0,0.0,0,1,1,1,0,0,1,2,3,-3,22:56,0.3,0.3,1.0,0.0,0.0,4.3,2.3,5.5,0.0,0.0,16.7,10.2,63.0,97.0,20191023
7,Kelly Olynyk,Miami Heat,22:13,1,3,0.333,1,1,1.0,4,4,1.0,1,7,8,0,1,2,2,4,7,21,22:13,0.735,0.5,0.333,1.333,5.1,30.9,19.0,0.0,1.9,7.6,29.6,11.9,114.0,83.0,20191023
8,Derrick Jones Jr.,Miami Heat,15:54,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,5,4,4,15:54,0.667,0.667,0.0,0.0,7.2,0.0,3.3,0.0,0.0,0.0,25.0,9.8,106.0,98.0,20191023
9,Chris Silva,Miami Heat,11:23,3,3,1.0,0,0,0.0,2,2,1.0,3,3,6,0,0,3,2,5,8,18,11:23,1.031,1.0,0.0,0.667,30.1,25.8,27.8,0.0,0.0,22.2,34.0,20.1,139.0,78.0,20191023
10,Daryl Macon,Miami Heat,1:10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,20191023
11,KZ Okpala,Miami Heat,1:10,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-4,1:10,0.0,0.0,0.0,0.0,0.0,84.0,45.2,0.0,0.0,0.0,100.0,33.4,0.0,81.0,20191023
12,Jimmy Butler,Miami Heat,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
13,Team Totals,Miami Heat,240,40,85,0.471,7,18,0.389,33,39,0.846,11,40,51,18,9,8,21,33,120,0,240,0.587,0.512,0.212,0.459,26.2,81.6,56.0,45.0,8.0,14.0,17.1,100.0,107.2,90.2,20191023
14,Justise Winslow,Miami Heat,40:40,4,16,0.25,0,2,0.0,2,6,0.333,4,9,13,7,1,0,3,4,10,16,40:40,0.268,0.25,0.125,0.375,10.4,23.0,16.8,22.4,1.1,0.0,13.9,21.2,76.0,105.0,20191026
15,Bam Adebayo,Miami Heat,38:28,5,9,0.556,0,1,0.0,9,12,0.75,2,11,13,8,0,1,3,2,19,-2,38:28,0.665,0.556,0.111,1.333,5.5,29.7,17.7,28.2,0.0,3.4,17.4,17.9,130.0,104.0,20191026
16,Tyler Herro,Miami Heat,32:20,6,16,0.375,2,7,0.286,0,0,0.0,0,5,5,0,0,0,3,3,14,-9,32:20,0.438,0.438,0.438,0.0,0.0,16.1,8.1,0.0,0.0,0.0,15.8,23.4,68.0,108.0,20191026
17,Kendrick Nunn,Miami Heat,28:31,8,17,0.471,2,8,0.25,0,0,0.0,0,4,4,5,2,1,1,6,18,-3,28:31,0.529,0.529,0.471,0.0,0.0,14.6,7.4,29.9,3.1,4.6,5.6,25.2,106.0,98.0,20191026
18,Meyers Leonard,Miami Heat,23:30,3,4,0.75,2,2,1.0,0,0,0.0,1,6,7,0,1,0,1,3,8,-8,23:30,1.0,1.0,0.5,0.0,4.5,26.5,15.6,0.0,1.9,0.0,20.0,8.5,136.0,102.0,20191026
19,Goran Dragić,Miami Heat,34:31,7,16,0.438,2,8,0.25,9,15,0.6,0,6,6,8,1,0,2,1,25,2,34:31,0.553,0.5,0.5,0.938,0.0,18.1,9.1,34.8,1.3,0.0,8.1,28.4,115.0,105.0,20191026
20,Kelly Olynyk,Miami Heat,27:40,5,11,0.455,4,9,0.444,0,0,0.0,1,3,4,5,1,0,3,6,14,15,27:40,0.636,0.636,0.818,0.0,3.8,11.3,7.6,26.3,1.6,0.0,21.4,20.2,106.0,105.0,20191026
21,Duncan Robinson,Miami Heat,23:18,3,6,0.5,3,5,0.6,0,0,0.0,0,0,0,0,0,1,0,3,9,11,23:18,0.75,0.75,0.833,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,10.3,132.0,106.0,20191026
22,Derrick Jones Jr.,Miami Heat,15:32,5,6,0.833,1,2,0.5,3,3,1.0,0,2,2,0,1,0,0,2,14,5,15:32,0.956,0.917,0.333,0.5,0.0,13.4,6.8,0.0,2.8,0.0,0.0,18.8,188.0,102.0,20191026
23,Chris Silva,Miami Heat,0:30,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,0:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,20191026
24,Udonis Haslem,Miami Heat,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191026
25,Daryl Macon,Miami Heat,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191026
26,KZ Okpala,Miami Heat,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191026
27,Team Totals,Miami Heat,265,46,101,0.455,16,44,0.364,23,36,0.639,8,46,54,33,7,3,16,30,131,0,265,0.561,0.535,0.436,0.356,16.0,90.2,53.5,71.7,5.8,7.5,12.0,100.0,108.1,104.0,20191026
28,Justise Winslow,Miami Heat,42:42,8,17,0.471,2,3,0.667,2,2,1.0,1,7,8,6,1,2,4,4,20,-1,42:42,0.559,0.529,0.176,0.118,2.9,16.4,10.3,20.4,1.1,4.9,18.3,21.8,104.0,111.0,20191027
29,Kendrick Nunn,Miami Heat,40:14,9,17,0.529,5,9,0.556,2,2,1.0,0,4,4,2,2,0,4,1,25,-4,40:14,0.699,0.676,0.529,0.118,0.0,9.9,5.5,7.6,2.3,0.0,18.3,23.2,110.0,113.0,20191027
30,Tyler Herro,Miami Heat,35:02,3,9,0.333,1,6,0.167,1,1,1.0,0,5,5,4,1,0,5,3,8,0,35:02,0.424,0.389,0.667,0.111,0.0,14.3,7.9,14.5,1.3,0.0,34.6,17.6,69.0,114.0,20191027
31,Bam Adebayo,Miami Heat,31:36,6,10,0.6,0,1,0.0,1,5,0.2,2,7,9,5,2,3,3,3,13,-7,31:36,0.533,0.6,0.1,0.5,7.8,22.2,15.7,23.1,2.9,9.9,19.7,20.5,102.0,103.0,20191027
32,Meyers Leonard,Miami Heat,14:07,2,4,0.5,1,1,1.0,0,0,0.0,1,2,3,1,0,0,0,2,5,0,14:07,0.625,0.625,0.25,0.0,8.7,14.2,11.7,9.7,0.0,0.0,0.0,12.1,139.0,117.0,20191027
33,Goran Dragić,Miami Heat,27:26,5,11,0.455,2,6,0.333,1,2,0.5,0,5,5,4,0,0,2,3,13,-7,27:26,0.547,0.545,0.545,0.182,0.0,18.2,10.1,21.0,0.0,0.0,14.4,21.6,104.0,115.0,20191027
34,Duncan Robinson,Miami Heat,23:14,8,12,0.667,4,7,0.571,1,1,1.0,0,2,2,1,1,2,1,3,21,-8,23:14,0.844,0.833,0.583,0.083,0.0,8.6,4.7,8.1,2.0,9.0,7.4,24.7,144.0,110.0,20191027
