,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,LaMarcus Aldridge,San Antonio Spurs,35:18,8,15,0.533,1,1,1.0,5,5,1.0,4,4,8,1,0,2,4,1,22,-3,35:18,0.64,0.567,0.067,0.333,12.4,11.8,12.1,4.4,0.0,4.2,18.9,24.1,113.0,103.0,20191023
1,Bryn Forbes,San Antonio Spurs,32:31,7,12,0.583,3,6,0.5,3,3,1.0,0,5,5,1,0,0,0,2,20,4,32:31,0.751,0.708,0.5,0.25,0.0,16.0,8.2,4.7,0.0,0.0,0.0,16.4,154.0,106.0,20191023
2,DeMar DeRozan,San Antonio Spurs,31:38,3,10,0.3,0,1,0.0,7,11,0.636,0,4,4,4,0,1,4,3,13,2,31:38,0.438,0.3,0.1,1.1,0.0,13.2,6.7,16.2,0.0,2.4,21.2,23.9,83.0,104.0,20191023
3,Trey Lyles,San Antonio Spurs,24:17,3,4,0.75,0,1,0.0,2,2,1.0,1,10,11,0,0,0,1,4,8,9,24:17,0.82,0.75,0.25,0.5,4.5,43.0,24.2,0.0,0.0,0.0,17.0,9.7,139.0,103.0,20191023
4,Dejounte Murray,San Antonio Spurs,23:47,7,10,0.7,1,1,1.0,3,3,1.0,0,8,8,6,3,0,4,1,18,9,23:47,0.795,0.75,0.1,0.3,0.0,35.1,17.9,43.4,5.6,0.0,26.1,25.8,124.0,92.0,20191023
5,Derrick White,San Antonio Spurs,22:10,3,6,0.5,0,0,0.0,3,5,0.6,1,1,2,3,0,0,2,2,9,2,22:10,0.549,0.5,0.0,0.833,4.9,4.7,4.8,18.3,0.0,0.0,19.6,18.4,105.0,107.0,20191023
6,Rudy Gay,San Antonio Spurs,20:18,4,9,0.444,0,4,0.0,5,5,1.0,1,5,6,3,1,1,3,1,13,3,20:18,0.58,0.444,0.444,0.556,5.4,25.7,15.8,21.8,2.2,3.7,21.1,28.0,105.0,97.0,20191023
7,Marco Belinelli,San Antonio Spurs,17:46,1,2,0.5,0,1,0.0,1,2,0.5,0,1,1,1,0,0,1,0,3,2,17:46,0.521,0.5,0.5,1.0,0.0,5.9,3.0,6.9,0.0,0.0,25.8,8.7,87.0,108.0,20191023
8,Patty Mills,San Antonio Spurs,16:08,3,11,0.273,2,6,0.333,0,0,0.0,1,1,2,2,2,0,2,2,8,8,16:08,0.364,0.364,0.545,0.0,6.8,6.5,6.6,18.0,5.5,0.0,15.4,32.3,76.0,95.0,20191023
9,Jakob Poeltl,San Antonio Spurs,16:07,3,4,0.75,0,0,0.0,0,0,0.0,2,2,4,1,0,1,0,2,6,9,16:07,0.75,0.75,0.0,0.0,13.5,12.9,13.2,9.0,0.0,4.7,0.0,9.9,165.0,102.0,20191023
10,Lonnie Walker IV,San Antonio Spurs,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
11,Chimezie Metu,San Antonio Spurs,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
12,DeMarre Carroll,San Antonio Spurs,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
13,Team Totals,San Antonio Spurs,240,42,83,0.506,7,21,0.333,29,36,0.806,10,41,51,22,6,5,21,18,120,0,240,0.607,0.548,0.253,0.434,22.7,89.1,56.7,52.4,5.5,7.8,17.5,100.0,110.2,101.9,20191023
14,DeMar DeRozan,San Antonio Spurs,36:24,11,24,0.458,0,0,0.0,4,4,1.0,0,4,4,3,2,1,1,1,26,1,36:24,0.505,0.458,0.0,0.167,0.0,13.2,5.6,11.1,2.6,2.2,3.7,28.3,116.0,118.0,20191026
15,LaMarcus Aldridge,San Antonio Spurs,33:06,10,17,0.588,2,3,0.667,5,7,0.714,3,6,9,3,1,1,3,3,27,5,33:06,0.672,0.647,0.176,0.412,8.1,21.8,13.9,12.3,1.4,2.4,13.0,26.9,129.0,118.0,20191026
16,Bryn Forbes,San Antonio Spurs,32:02,6,14,0.429,4,9,0.444,0,0,0.0,3,1,4,3,0,0,3,2,16,3,32:02,0.571,0.571,0.643,0.0,8.3,3.7,6.4,11.0,0.0,0.0,17.6,20.5,111.0,127.0,20191026
17,Dejounte Murray,San Antonio Spurs,23:02,8,15,0.533,0,3,0.0,3,3,1.0,3,7,10,4,2,1,1,1,19,5,23:02,0.582,0.533,0.2,0.2,11.6,36.5,22.2,25.0,4.1,3.4,5.8,29.0,134.0,109.0,20191026
18,Trey Lyles,San Antonio Spurs,17:40,1,5,0.2,0,0,0.0,0,0,0.0,5,2,7,3,0,0,0,0,2,7,17:40,0.2,0.2,0.0,0.0,25.2,13.6,20.2,17.2,0.0,0.0,0.0,10.9,118.0,125.0,20191026
19,Rudy Gay,San Antonio Spurs,27:04,4,9,0.444,0,3,0.0,0,0,0.0,3,6,9,4,1,0,0,4,8,-1,27:04,0.444,0.444,0.333,0.0,9.9,26.6,17.0,16.5,1.7,0.0,0.0,12.8,130.0,119.0,20191026
20,Derrick White,San Antonio Spurs,19:32,4,6,0.667,2,3,0.667,0,0,0.0,0,1,1,0,0,1,0,4,10,6,19:32,0.833,0.833,0.5,0.0,0.0,6.1,2.6,0.0,0.0,4.0,0.0,11.8,172.0,123.0,20191026
21,Patty Mills,San Antonio Spurs,19:00,2,5,0.4,2,4,0.5,0,0,0.0,0,0,0,2,0,0,0,2,6,-7,19:00,0.6,0.6,0.8,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,10.1,148.0,128.0,20191026
