,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Kawhi Leonard,Los Angeles Clippers,31:33,10,19,0.526,1,5,0.2,9,10,0.9,1,5,6,5,2,1,6,5,30,5,31:33,0.641,0.553,0.263,0.526,3.5,17.7,10.6,28.4,3.2,2.9,20.4,42.4,111.0,102.0,20191022
1,Patrick Beverley,Los Angeles Clippers,31:22,1,7,0.143,0,5,0.0,0,0,0.0,2,8,10,6,0,1,2,4,2,13,31:22,0.143,0.143,0.714,0.0,7.1,28.5,17.8,22.7,0.0,2.9,22.2,13.0,75.0,107.0,20191022
2,Landry Shamet,Los Angeles Clippers,26:26,3,8,0.375,2,4,0.5,0,0,0.0,0,3,3,2,0,0,0,1,8,-1,26:26,0.5,0.5,0.5,0.0,0.0,12.7,6.3,9.9,0.0,0.0,0.0,13.8,115.0,113.0,20191022
3,Patrick Patterson,Los Angeles Clippers,17:29,1,3,0.333,1,3,0.333,1,2,0.5,1,2,3,0,0,0,0,2,4,-2,17:29,0.515,0.5,1.0,0.667,6.4,12.8,9.6,0.0,0.0,0.0,0.0,10.1,121.0,113.0,20191022
4,Ivica Zubac,Los Angeles Clippers,9:38,4,4,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,8,-5,9:38,1.0,1.0,0.0,0.0,11.6,0.0,5.8,0.0,0.0,0.0,0.0,18.9,203.0,116.0,20191022
5,Montrezl Harrell,Los Angeles Clippers,38:22,7,11,0.636,0,0,0.0,3,8,0.375,2,5,7,4,1,1,3,3,17,15,38:22,0.585,0.636,0.0,0.727,5.8,14.5,10.2,15.1,1.3,2.4,17.1,20.8,109.0,108.0,20191022
6,Lou Williams,Los Angeles Clippers,36:44,8,14,0.571,1,4,0.25,4,4,1.0,1,4,5,7,1,0,2,0,21,13,36:44,0.666,0.607,0.286,0.286,3.0,12.2,7.6,29.0,1.4,0.0,11.3,22.0,136.0,110.0,20191022
7,Maurice Harkless,Los Angeles Clippers,29:10,4,7,0.571,2,3,0.667,0,0,0.0,2,2,4,0,4,2,0,5,10,7,29:10,0.714,0.714,0.429,0.0,7.7,7.7,7.7,0.0,6.9,6.3,0.0,10.9,151.0,94.0,20191022
8,JaMychal Green,Los Angeles Clippers,19:16,4,8,0.5,4,7,0.571,0,0,0.0,1,5,6,0,0,0,1,3,12,5,19:16,0.75,0.75,0.875,0.0,5.8,29.0,17.4,0.0,0.0,0.0,11.1,21.2,128.0,109.0,20191022
9,Johnathan Motley,Los Angeles Clippers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
10,Terance Mann,Los Angeles Clippers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
11,Mfiondu Kabengele,Los Angeles Clippers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
12,Jerome Robinson,Los Angeles Clippers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
13,Team Totals,Los Angeles Clippers,240,42,81,0.519,11,31,0.355,17,24,0.708,11,34,45,24,8,5,14,25,112,0,240,0.612,0.586,0.383,0.296,25.6,79.1,52.3,57.1,8.4,9.6,13.3,100.0,117.5,107.0,20191022
14,Landry Shamet,Los Angeles Clippers,33:56,4,5,0.8,3,4,0.75,0,0,0.0,0,0,0,3,0,1,1,2,11,15,33:56,1.1,1.1,0.8,0.0,0.0,0.0,0.0,9.6,0.0,2.5,16.7,7.7,170.0,126.0,20191024
15,Patrick Beverley,Los Angeles Clippers,28:14,2,4,0.5,1,3,0.333,0,0,0.0,0,4,4,3,5,0,2,3,5,20,28:14,0.625,0.625,0.75,0.0,0.0,13.3,8.4,10.9,8.1,0.0,33.3,9.3,100.0,102.0,20191024
16,Patrick Patterson,Los Angeles Clippers,28:10,7,13,0.538,6,10,0.6,0,0,0.0,0,3,3,1,0,0,1,3,20,30,28:10,0.769,0.769,0.769,0.0,0.0,10.0,6.3,4.5,0.0,0.0,7.1,21.6,126.0,123.0,20191024
17,Kawhi Leonard,Los Angeles Clippers,21:26,9,17,0.529,1,3,0.333,2,4,0.5,0,5,5,9,0,0,1,0,21,27,21:26,0.56,0.559,0.176,0.235,0.0,22.0,13.8,67.5,0.0,0.0,5.1,40.2,127.0,117.0,20191024
18,Ivica Zubac,Los Angeles Clippers,17:52,4,5,0.8,0,0,0.0,8,9,0.889,1,9,10,1,0,2,1,2,16,22,17:52,0.893,0.8,0.0,1.8,9.0,47.4,33.2,6.8,0.0,9.4,10.0,24.3,170.0,101.0,20191024
19,Lou Williams,Los Angeles Clippers,29:24,5,11,0.455,1,3,0.333,11,11,1.0,0,3,3,8,1,0,0,1,22,-2,29:24,0.694,0.5,0.273,1.0,0.0,9.6,6.0,31.2,1.5,0.0,0.0,23.5,161.0,119.0,20191024
20,Montrezl Harrell,Los Angeles Clippers,24:34,8,9,0.889,0,0,0.0,2,5,0.4,1,5,6,3,0,0,6,3,18,1,24:34,0.804,0.889,0.0,0.556,6.5,19.2,14.5,17.1,0.0,0.0,34.9,30.5,103.0,119.0,20191024
21,Maurice Harkless,Los Angeles Clippers,24:16,5,7,0.714,0,2,0.0,0,0,0.0,1,1,2,3,1,1,2,3,10,2,24:16,0.714,0.714,0.286,0.0,6.6,3.9,4.9,14.8,1.9,3.5,22.2,16.2,123.0,119.0,20191024
