,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Kyle Lowry,Toronto Raptors,44:59,4,15,0.267,3,11,0.273,11,13,0.846,1,4,5,6,2,0,4,4,22,-1,44:59,0.531,0.367,0.733,0.867,2.2,8.3,5.4,19.0,2.1,0.0,16.2,21.5,109.0,110.0,20191022
1,Fred VanVleet,Toronto Raptors,44:21,12,18,0.667,5,7,0.714,5,6,0.833,0,5,5,7,2,0,2,0,34,18,44:21,0.824,0.806,0.389,0.333,0.0,10.5,5.4,30.2,2.1,0.0,8.8,19.9,158.0,109.0,20191022
2,Pascal Siakam,Toronto Raptors,38:09,11,26,0.423,2,5,0.4,10,11,0.909,6,12,18,5,0,1,4,6,34,5,38:09,0.551,0.462,0.192,0.423,15.7,29.2,22.7,26.0,0.0,2.4,11.5,35.7,117.0,104.0,20191022
3,OG Anunoby,Toronto Raptors,35:48,5,12,0.417,1,4,0.25,0,1,0.0,3,4,7,0,0,2,1,3,11,12,35:48,0.442,0.458,0.333,0.083,8.4,10.4,9.4,0.0,0.0,5.2,7.4,14.7,97.0,111.0,20191022
4,Marc Gasol,Toronto Raptors,31:55,2,9,0.222,1,4,0.25,1,1,1.0,1,3,4,1,0,0,0,5,6,-2,31:55,0.318,0.278,0.444,0.111,3.1,8.7,6.0,4.3,0.0,0.0,0.0,11.6,87.0,114.0,20191022
5,Norman Powell,Toronto Raptors,28:38,2,7,0.286,1,5,0.2,0,0,0.0,1,7,8,2,0,0,2,2,5,2,28:38,0.357,0.357,0.714,0.0,3.5,22.7,13.5,9.7,0.0,0.0,22.2,12.3,75.0,108.0,20191022
6,Serge Ibaka,Toronto Raptors,26:00,4,10,0.4,0,1,0.0,5,6,0.833,2,3,5,0,1,0,3,2,13,6,26:00,0.514,0.4,0.1,0.6,7.7,10.7,9.3,0.0,1.8,0.0,19.2,23.5,94.0,109.0,20191022
7,Terence Davis,Toronto Raptors,15:10,2,6,0.333,1,3,0.333,0,0,0.0,2,3,5,2,2,0,0,2,5,0,15:10,0.417,0.417,0.5,0.0,13.2,18.4,15.9,20.0,6.2,0.0,0.0,15.4,120.0,95.0,20191022
8,Dewan Hernandez,Toronto Raptors,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
9,Malcolm Miller,Toronto Raptors,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
10,Stanley Johnson,Toronto Raptors,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
11,Chris Boucher,Toronto Raptors,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
12,Matt Thomas,Toronto Raptors,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
13,Team Totals,Toronto Raptors,265,42,103,0.408,14,40,0.35,32,38,0.842,16,41,57,23,7,3,16,24,130,0,265,0.543,0.476,0.388,0.369,30.2,71.9,51.8,54.8,6.2,5.3,11.8,100.0,115.2,108.1,20191022
14,Fred VanVleet,Toronto Raptors,41:47,2,11,0.182,2,5,0.4,2,2,1.0,1,4,5,6,1,1,4,4,8,-8,41:47,0.337,0.273,0.455,0.182,2.9,7.4,5.6,19.9,1.1,1.6,25.2,16.8,77.0,113.0,20191025
