,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,D'Angelo Russell,Golden State Warriors,33:15,6,16,0.375,4,8,0.5,4,4,1.0,0,0,0,8,0,0,1,2,20,-35,33:15,0.563,0.5,0.5,0.25,0.0,0.0,0.0,38.1,0.0,0.0,5.3,21.6,129.0,137.0,20191024
1,Glenn Robinson III,Golden State Warriors,30:14,5,10,0.5,1,4,0.25,2,2,1.0,2,3,5,2,0,0,0,3,13,-22,30:14,0.597,0.55,0.4,0.2,6.2,15.9,9.8,10.2,0.0,0.0,0.0,13.8,139.0,137.0,20191024
2,Stephen Curry,Golden State Warriors,29:48,8,20,0.4,2,11,0.182,5,5,1.0,1,3,4,4,1,0,8,3,23,-19,29:48,0.518,0.45,0.55,0.25,3.2,16.1,8.0,24.7,1.5,0.0,26.5,38.9,84.0,133.0,20191024
3,Draymond Green,Golden State Warriors,28:25,3,6,0.5,1,2,0.5,4,4,1.0,0,4,4,3,1,0,0,3,11,-35,28:25,0.709,0.583,0.333,0.667,0.0,22.5,8.3,14.9,1.6,0.0,0.0,10.5,163.0,133.0,20191024
4,Kevon Looney,Golden State Warriors,10:27,1,4,0.25,1,1,1.0,0,0,0.0,5,4,9,1,0,0,1,3,3,-4,10:27,0.375,0.375,0.25,0.0,45.0,61.2,51.0,13.4,0.0,0.0,20.0,18.3,112.0,134.0,20191024
5,Eric Paschall,Golden State Warriors,31:28,6,13,0.462,0,1,0.0,2,3,0.667,2,2,4,3,2,0,1,1,14,5,31:28,0.489,0.462,0.077,0.231,6.0,10.2,7.5,15.3,2.9,0.0,6.5,18.7,110.0,131.0,20191024
6,Jacob Evans,Golden State Warriors,21:43,5,9,0.556,4,6,0.667,0,0,0.0,1,3,4,1,0,0,0,1,14,3,21:43,0.778,0.778,0.667,0.0,4.3,22.1,10.9,7.9,0.0,0.0,0.0,15.9,156.0,137.0,20191024
7,Jordan Poole,Golden State Warriors,20:48,2,13,0.154,1,7,0.143,0,0,0.0,0,2,2,2,1,0,1,0,5,10,20:48,0.192,0.192,0.538,0.0,0.0,15.4,5.7,13.4,2.2,0.0,7.1,25.8,51.0,132.0,20191024
8,Marquese Chriss,Golden State Warriors,14:29,1,2,0.5,0,0,0.0,6,6,1.0,2,2,4,1,1,0,1,4,8,0,14:29,0.862,0.5,0.0,3.0,13.0,22.1,16.4,9.3,3.1,0.0,17.7,14.9,163.0,129.0,20191024
9,Omari Spellman,Golden State Warriors,10:58,2,6,0.333,1,2,0.5,3,3,1.0,2,3,5,0,1,0,0,1,8,-4,10:58,0.546,0.417,0.333,0.5,17.2,43.8,27.0,0.0,4.2,0.0,0.0,25.6,132.0,126.0,20191024
10,Damion Lee,Golden State Warriors,4:19,0,0,0.0,0,0,0.0,3,3,1.0,0,1,1,1,0,0,0,0,3,3,4:19,1.136,0.0,0.0,0.0,0.0,37.1,13.7,28.5,0.0,0.0,0.0,11.7,248.0,136.0,20191024
11,Ky Bowman,Golden State Warriors,4:06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,4:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,238.0,138.0,20191024
12,Team Totals,Golden State Warriors,240,39,99,0.394,15,42,0.357,29,30,0.967,15,27,42,27,7,0,13,21,122,0,240,0.544,0.47,0.424,0.303,29.4,90.0,51.9,69.2,6.6,0.0,10.4,100.0,115.7,133.7,20191024
