,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Karl-Anthony Towns,Minnesota Timberwolves,38:41,11,22,0.5,7,11,0.636,7,8,0.875,1,13,14,3,3,3,3,5,36,-1,38:41,0.705,0.659,0.5,0.364,2.7,35.6,19.2,13.3,3.5,6.1,10.5,29.3,131.0,96.0,20191023
1,Andrew Wiggins,Minnesota Timberwolves,36:13,10,27,0.37,0,4,0.0,1,2,0.5,5,3,8,0,0,0,1,4,21,-26,36:13,0.377,0.37,0.148,0.074,14.6,8.8,11.7,0.0,0.0,0.0,3.5,31.7,86.0,114.0,20191023
2,Treveon Graham,Minnesota Timberwolves,34:35,4,13,0.308,0,3,0.0,1,1,1.0,2,4,6,4,1,0,0,2,9,-5,34:35,0.335,0.308,0.231,0.077,6.1,12.3,9.2,15.4,1.3,0.0,0.0,15.4,95.0,111.0,20191023
3,Jeff Teague,Minnesota Timberwolves,34:34,5,8,0.625,0,1,0.0,4,4,1.0,0,3,3,4,1,0,3,4,14,-7,34:34,0.717,0.625,0.125,0.5,0.0,9.2,4.6,16.0,1.3,0.0,23.5,14.7,119.0,111.0,20191023
4,Robert Covington,Minnesota Timberwolves,32:42,6,11,0.545,3,6,0.5,0,0,0.0,2,7,9,0,0,0,2,4,15,-11,32:42,0.682,0.682,0.545,0.0,6.5,22.7,14.6,0.0,0.0,0.0,15.4,15.8,116.0,111.0,20191023
5,Jake Layman,Minnesota Timberwolves,22:42,4,7,0.571,2,4,0.5,0,0,0.0,0,2,2,1,0,1,0,1,10,8,22:42,0.714,0.714,0.571,0.0,0.0,9.3,4.7,6.4,0.0,3.5,0.0,12.3,147.0,112.0,20191023
6,Shabazz Napier,Minnesota Timberwolves,20:59,1,7,0.143,0,6,0.0,3,5,0.6,0,1,1,7,0,0,1,1,5,17,20:59,0.272,0.143,0.857,0.714,0.0,5.1,2.5,40.7,0.0,0.0,9.8,19.3,85.0,116.0,20191023
7,Jarrett Culver,Minnesota Timberwolves,15:46,2,5,0.4,0,2,0.0,0,0,0.0,1,1,2,0,1,0,2,0,4,6,15:46,0.4,0.4,0.4,0.0,6.7,6.7,6.7,0.0,2.9,0.0,28.6,17.6,64.0,109.0,20191023
8,Josh Okogie,Minnesota Timberwolves,14:26,2,5,0.4,1,4,0.25,6,8,0.75,1,2,3,3,1,0,0,0,11,22,14:26,0.646,0.5,0.8,1.6,7.3,14.7,11.0,28.5,3.2,0.0,0.0,23.5,153.0,107.0,20191023
9,Noah Vonleh,Minnesota Timberwolves,14:22,1,3,0.333,0,2,0.0,0,0,0.0,0,4,4,1,2,0,1,1,2,2,14:22,0.333,0.333,0.667,0.0,0.0,29.5,14.8,8.7,6.4,0.0,25.0,11.1,63.0,96.0,20191023
10,Gorgui Dieng,Minnesota Timberwolves,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
11,Jordan Bell,Minnesota Timberwolves,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
12,Kelan Martin,Minnesota Timberwolves,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
13,Team Totals,Minnesota Timberwolves,265,46,108,0.426,13,43,0.302,22,28,0.786,12,40,52,23,9,4,13,22,127,0,265,0.528,0.486,0.398,0.259,24.0,80.0,52.0,50.0,7.7,6.0,9.8,100.0,109.3,108.5,20191023
14,Andrew Wiggins,Minnesota Timberwolves,32:40,6,13,0.462,0,3,0.0,4,5,0.8,2,2,4,2,1,1,1,1,16,19,32:40,0.526,0.462,0.231,0.385,6.4,6.1,6.3,8.6,1.4,2.7,6.2,19.9,115.0,99.0,20191025
15,Karl-Anthony Towns,Minnesota Timberwolves,27:43,13,18,0.722,4,7,0.571,7,13,0.538,4,11,15,8,4,2,2,3,37,25,27:43,0.78,0.833,0.389,0.722,15.1,39.7,27.6,67.6,6.7,6.3,7.8,37.2,151.0,76.0,20191025
16,Treveon Graham,Minnesota Timberwolves,22:59,4,8,0.5,2,3,0.667,2,2,1.0,1,1,2,0,0,0,1,1,12,-7,22:59,0.676,0.625,0.375,0.25,4.5,4.4,4.4,0.0,0.0,0.0,10.1,17.2,124.0,105.0,20191025
17,Jeff Teague,Minnesota Timberwolves,22:19,1,4,0.25,0,2,0.0,2,3,0.667,0,2,2,5,2,0,1,1,4,7,22:19,0.376,0.25,0.5,0.75,0.0,9.0,4.6,26.3,4.1,0.0,15.8,11.4,102.0,94.0,20191025
18,Robert Covington,Minnesota Timberwolves,18:08,4,10,0.4,0,4,0.0,0,0,0.0,1,3,4,1,1,0,0,3,8,4,18:08,0.4,0.4,0.4,0.0,5.8,16.5,11.3,8.2,2.5,0.0,0.0,22.1,95.0,95.0,20191025
19,Josh Okogie,Minnesota Timberwolves,26:29,5,6,0.833,1,1,1.0,3,3,1.0,1,3,4,3,1,0,3,3,14,28,26:29,0.956,0.917,0.167,0.5,3.9,11.3,7.7,16.0,1.7,0.0,29.1,15.6,133.0,98.0,20191025
