,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Nikola Vučević,Orlando Magic,34:13,8,16,0.5,1,5,0.2,4,5,0.8,1,9,10,3,1,0,1,0,21,2,34:13,0.577,0.531,0.313,0.313,2.8,25.8,14.0,16.3,1.4,0.0,5.2,25.1,113.0,87.0,20191023
1,Aaron Gordon,Orlando Magic,28:53,2,8,0.25,1,2,0.5,4,6,0.667,0,2,2,3,2,1,1,4,9,1,28:53,0.423,0.313,0.25,0.75,0.0,6.8,3.3,14.8,3.4,3.1,8.6,18.0,89.0,86.0,20191023
2,Evan Fournier,Orlando Magic,28:06,7,13,0.538,2,4,0.5,0,2,0.0,1,2,3,4,1,1,3,3,16,-10,28:06,0.576,0.615,0.308,0.154,3.3,7.0,5.1,27.3,1.7,3.2,17.8,26.9,96.0,90.0,20191023
3,D.J. Augustin,Orlando Magic,24:34,4,9,0.444,1,2,0.5,0,0,0.0,0,3,3,5,0,0,0,0,9,6,24:34,0.5,0.5,0.222,0.0,0.0,12.0,5.9,33.5,0.0,0.0,0.0,16.4,114.0,95.0,20191023
4,Jonathan Isaac,Orlando Magic,23:59,1,3,0.333,0,1,0.0,1,2,0.5,1,7,8,2,1,2,2,4,3,0,23:59,0.387,0.333,0.333,0.667,3.9,28.6,16.0,11.4,2.0,7.4,34.0,11.0,72.0,79.0,20191023
5,Al-Farouq Aminu,Orlando Magic,29:06,1,5,0.2,1,2,0.5,2,4,0.5,2,5,7,0,1,0,1,2,5,14,29:06,0.37,0.3,0.4,0.8,6.5,16.8,11.5,0.0,1.7,0.0,12.9,11.9,79.0,89.0,20191023
6,Markelle Fultz,Orlando Magic,23:26,6,12,0.5,0,3,0.0,0,0,0.0,0,0,0,6,2,0,3,1,12,3,23:26,0.5,0.5,0.25,0.0,0.0,0.0,0.0,49.7,4.2,0.0,20.0,28.6,90.0,89.0,20191023
7,Terrence Ross,Orlando Magic,19:28,4,13,0.308,2,7,0.286,0,0,0.0,0,4,4,0,2,0,1,1,10,17,19:28,0.385,0.385,0.538,0.0,0.0,20.1,9.9,0.0,5.0,0.0,7.1,32.2,67.0,81.0,20191023
8,Michael Carter-Williams,Orlando Magic,14:28,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,1,0,1,2,2,5,14:28,0.5,0.5,0.5,0.0,6.5,6.8,6.6,0.0,3.4,0.0,33.3,9.3,77.0,88.0,20191023
9,Mo Bamba,Orlando Magic,13:47,3,5,0.6,1,3,0.333,0,0,0.0,1,6,7,1,1,0,0,1,7,7,13:47,0.7,0.7,0.6,0.0,6.8,42.6,24.4,13.1,3.5,0.0,0.0,16.2,140.0,76.0,20191023
