,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Jrue Holiday,New Orleans Pelicans,41:05,6,15,0.4,1,6,0.167,0,2,0.0,2,2,4,6,0,2,5,2,13,-14,41:05,0.409,0.433,0.4,0.133,4.5,4.9,4.7,22.0,0.0,4.1,23.9,20.8,81.0,120.0,20191022
1,Brandon Ingram,New Orleans Pelicans,35:06,8,19,0.421,2,5,0.4,4,4,1.0,0,5,5,5,1,2,2,4,22,-19,35:06,0.53,0.474,0.263,0.211,0.0,14.2,6.9,24.4,1.3,4.8,8.8,26.5,111.0,113.0,20191022
2,J.J. Redick,New Orleans Pelicans,27:03,6,9,0.667,4,6,0.667,0,0,0.0,0,2,2,1,0,0,3,3,16,-14,27:03,0.889,0.889,0.667,0.0,0.0,7.4,3.6,6.3,0.0,0.0,25.0,18.1,112.0,121.0,20191022
3,Lonzo Ball,New Orleans Pelicans,24:50,2,7,0.286,2,3,0.667,2,2,1.0,0,5,5,5,0,0,1,2,8,-7,24:50,0.508,0.429,0.429,0.286,0.0,20.1,9.7,27.6,0.0,0.0,11.3,14.6,119.0,116.0,20191022
4,Derrick Favors,New Orleans Pelicans,20:46,3,6,0.5,0,0,0.0,0,0,0.0,1,6,7,2,0,1,1,5,6,-12,20:46,0.5,0.5,0.0,0.0,4.5,28.9,16.2,14.4,0.0,4.1,14.3,13.8,104.0,110.0,20191022
5,Josh Hart,New Orleans Pelicans,28:10,4,9,0.444,3,5,0.6,4,4,1.0,4,6,10,1,0,1,1,4,15,-1,28:10,0.697,0.611,0.556,0.444,13.2,21.3,17.1,5.3,0.0,3.0,8.5,17.0,143.0,114.0,20191022
6,Nicolò Melli,New Orleans Pelicans,19:37,5,7,0.714,4,5,0.8,0,0,0.0,2,3,5,2,0,0,2,1,14,11,19:37,1.0,1.0,0.714,0.0,9.5,15.3,12.3,18.3,0.0,0.0,22.2,18.7,141.0,118.0,20191022
7,Kenrich Williams,New Orleans Pelicans,18:02,0,4,0.0,0,2,0.0,3,3,1.0,3,3,6,3,1,2,1,5,3,11,18:02,0.282,0.0,0.5,0.75,15.5,16.6,16.0,20.5,2.6,9.3,15.8,14.3,99.0,107.0,20191022
8,Frank Jackson,New Orleans Pelicans,13:51,3,6,0.5,1,3,0.333,2,2,1.0,0,0,0,1,0,0,1,3,9,7,13:51,0.654,0.583,0.5,0.333,0.0,0.0,0.0,12.1,0.0,0.0,12.7,23.2,119.0,124.0,20191022
9,Jahlil Okafor,New Orleans Pelicans,12:29,3,3,1.0,0,0,0.0,2,3,0.667,2,0,2,0,0,1,1,3,8,-7,12:29,0.926,1.0,0.0,1.0,14.9,0.0,7.7,0.0,0.0,6.7,18.8,17.4,146.0,121.0,20191022
10,E'Twaun Moore,New Orleans Pelicans,12:06,2,7,0.286,1,3,0.333,0,0,0.0,1,2,3,2,0,0,0,0,5,-1,12:06,0.357,0.357,0.429,0.0,7.7,16.5,11.9,25.6,0.0,0.0,0.0,23.6,100.0,118.0,20191022
11,Nickeil Alexander-Walker,New Orleans Pelicans,11:55,1,10,0.1,1,7,0.143,0,0,0.0,1,3,4,2,2,0,1,2,3,6,11:55,0.15,0.15,0.7,0.0,7.8,25.2,16.2,23.1,7.9,0.0,9.1,37.7,50.0,96.0,20191022
12,Jaxson Hayes,New Orleans Pelicans,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191022
13,Team Totals,New Orleans Pelicans,265,43,102,0.422,19,45,0.422,17,20,0.85,16,37,53,30,4,9,19,34,122,0,265,0.551,0.515,0.441,0.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,100.0,108.1,115.2,20191022
14,Lonzo Ball,New Orleans Pelicans,33:13,6,16,0.375,3,12,0.25,0,2,0.0,1,7,8,5,2,0,2,3,15,-14,33:13,0.444,0.469,0.75,0.125,2.9,21.1,11.9,19.9,2.8,0.0,10.6,23.0,94.0,115.0,20191025
15,Jrue Holiday,New Orleans Pelicans,33:13,2,11,0.182,0,3,0.0,4,4,1.0,1,3,4,8,2,0,0,1,8,-14,33:13,0.313,0.182,0.273,0.364,2.9,9.0,6.0,27.5,2.8,0.0,0.0,15.5,105.0,119.0,20191025
16,Brandon Ingram,New Orleans Pelicans,31:25,10,20,0.5,4,7,0.571,1,1,1.0,2,6,8,3,0,3,3,3,25,-11,31:25,0.612,0.6,0.35,0.05,6.2,19.1,12.6,15.4,0.0,8.6,12.8,30.2,110.0,117.0,20191025
17,Derrick Favors,New Orleans Pelicans,21:35,8,10,0.8,0,0,0.0,0,0,0.0,3,4,7,2,0,0,2,2,16,-2,21:35,0.8,0.8,0.0,0.0,13.6,18.5,16.0,16.3,0.0,0.0,16.7,22.5,134.0,122.0,20191025
18,J.J. Redick,New Orleans Pelicans,21:35,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,2,0,0,2,0,3,-2,21:35,0.5,0.5,0.667,0.0,0.0,0.0,0.0,10.4,0.0,0.0,40.0,9.4,73.0,128.0,20191025
19,Josh Hart,New Orleans Pelicans,26:25,5,9,0.556,1,5,0.2,5,6,0.833,2,7,9,0,2,0,2,5,16,-5,26:25,0.687,0.611,0.556,0.667,7.4,26.5,16.9,0.0,3.5,0.0,14.7,20.9,122.0,112.0,20191025
20,Kenrich Williams,New Orleans Pelicans,21:26,3,5,0.6,2,3,0.667,1,2,0.5,1,5,6,1,0,0,1,2,9,-3,21:26,0.765,0.8,0.6,0.4,4.6,23.3,13.9,5.9,0.0,0.0,14.5,13.0,129.0,121.0,20191025
21,Frank Jackson,New Orleans Pelicans,14:47,4,9,0.444,2,3,0.667,0,0,0.0,0,0,0,2,0,0,0,1,10,7,14:47,0.333,0.333,0.556,0.0,0.0,6.8,3.3,50.6,0.0,0.0,10.0,27.4,93.0,126.0,20191025
22,Nickeil Alexander-Walker,New Orleans Pelicans,14:47,2,9,0.222,2,5,0.4,0,0,0.0,0,1,1,6,0,0,1,1,6,7,14:47,0.556,0.556,0.333,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,24.6,120.0,127.0,20191025
23,Nicolò Melli,New Orleans Pelicans,14:26,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,3,4,4,14:26,0.667,0.667,0.333,0.0,6.8,6.9,6.9,8.7,0.0,0.0,25.0,11.2,111.0,125.0,20191025
24,Jahlil Okafor,New Orleans Pelicans,7:08,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,4,-2,7:08,0.667,0.667,0.0,0.0,13.7,28.0,20.8,0.0,0.0,0.0,0.0,17.0,140.0,119.0,20191025
25,Jaxson Hayes,New Orleans Pelicans,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191025
26,E'Twaun Moore,New Orleans Pelicans,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191025
27,Team Totals,New Orleans Pelicans,240,45,98,0.459,15,41,0.366,11,15,0.733,12,36,48,30,6,3,14,22,116,0,240,0.554,0.536,0.418,0.153,24.5,75.0,49.5,66.7,5.8,5.7,11.8,100.0,112.8,119.6,20191025
28,Brandon Ingram,New Orleans Pelicans,38:41,14,22,0.636,4,7,0.571,3,5,0.6,1,14,15,5,0,0,3,3,35,-1,38:41,0.723,0.727,0.318,0.227,2.8,41.4,21.4,21.7,0.0,0.0,11.0,27.2,131.0,111.0,20191026
29,Lonzo Ball,New Orleans Pelicans,35:39,6,13,0.462,4,9,0.444,2,2,1.0,0,2,2,10,3,0,0,2,18,0,35:39,0.648,0.615,0.692,0.154,0.0,6.4,3.1,35.5,3.6,0.0,0.0,15.1,153.0,110.0,20191026
30,Josh Hart,New Orleans Pelicans,33:41,8,17,0.471,5,12,0.417,2,2,1.0,0,3,3,1,2,1,1,1,23,-1,33:41,0.643,0.618,0.706,0.118,0.0,10.2,4.9,4.1,2.5,2.9,5.3,21.7,121.0,110.0,20191026
31,J.J. Redick,New Orleans Pelicans,28:09,4,16,0.25,4,11,0.364,2,2,1.0,1,1,2,1,0,0,5,5,14,-2,28:09,0.415,0.375,0.688,0.125,3.8,4.1,3.9,4.4,0.0,0.0,22.9,30.1,69.0,119.0,20191026
32,Derrick Favors,New Orleans Pelicans,18:25,2,5,0.4,0,1,0.0,0,0,0.0,3,2,5,2,1,0,4,2,4,-9,18:25,0.4,0.4,0.2,0.0,17.4,12.4,15.0,12.8,2.3,0.0,44.4,18.9,72.0,112.0,20191026
33,Kenrich Williams,New Orleans Pelicans,32:22,1,4,0.25,0,2,0.0,0,0,0.0,2,3,5,3,2,0,0,4,2,-1,32:22,0.25,0.25,0.5,0.0,6.6,10.6,8.5,10.0,2.6,0.0,0.0,4.8,111.0,112.0,20191026
34,Frank Jackson,New Orleans Pelicans,18:05,3,9,0.333,1,5,0.2,2,2,1.0,1,1,2,2,1,0,2,2,9,-2,18:05,0.455,0.389,0.556,0.222,5.9,6.3,6.1,14.0,2.4,0.0,16.8,25.4,90.0,113.0,20191026
