,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Rudy Gobert,Utah Jazz,37:55,3,6,0.5,0,0,0.0,1,3,0.333,3,11,14,0,0,1,4,5,7,13,37:55,0.478,0.5,0.0,0.5,7.3,30.9,18.3,0.0,0.0,2.3,35.3,13.1,73.0,95.0,20191023
1,Donovan Mitchell,Utah Jazz,36:24,14,22,0.636,1,3,0.333,3,4,0.75,5,7,12,3,1,0,1,4,32,9,36:24,0.673,0.659,0.136,0.182,12.7,20.5,16.3,18.4,1.3,0.0,4.0,29.7,139.0,96.0,20191023
2,Royce O'Neale,Utah Jazz,30:07,6,6,1.0,2,2,1.0,0,0,0.0,0,5,5,0,1,0,1,4,14,-2,30:07,1.167,1.167,0.333,0.0,0.0,17.7,8.2,0.0,1.6,0.0,14.3,10.2,187.0,96.0,20191023
3,Mike Conley,Utah Jazz,26:43,1,16,0.063,0,6,0.0,3,4,0.75,0,0,0,5,1,0,2,5,5,1,26:43,0.141,0.063,0.375,0.25,0.0,0.0,0.0,23.5,1.8,0.0,10.1,32.3,43.0,99.0,20191023
4,Bojan Bogdanović,Utah Jazz,23:54,6,14,0.429,1,5,0.2,3,3,1.0,0,3,3,0,1,0,0,2,16,2,23:54,0.522,0.464,0.357,0.214,0.0,13.4,6.2,0.0,2.0,0.0,0.0,28.0,110.0,96.0,20191023
5,Joe Ingles,Utah Jazz,32:39,3,8,0.375,1,4,0.25,0,0,0.0,0,4,4,1,0,0,1,2,7,8,32:39,0.438,0.438,0.5,0.0,0.0,13.1,6.1,4.1,0.0,0.0,11.1,12.1,84.0,101.0,20191023
6,Emmanuel Mudiay,Utah Jazz,22:59,6,11,0.545,0,1,0.0,0,0,0.0,0,2,2,5,0,1,0,2,12,4,22:59,0.545,0.545,0.091,0.0,0.0,9.3,4.3,38.0,0.0,3.7,0.0,20.9,126.0,99.0,20191023
7,Jeff Green,Utah Jazz,16:34,1,4,0.25,1,3,0.333,2,4,0.5,0,2,2,1,0,1,1,2,5,-4,16:34,0.434,0.375,0.75,1.0,0.0,12.9,6.0,7.8,0.0,5.2,14.8,17.8,83.0,96.0,20191023
8,Ed Davis,Utah Jazz,10:05,0,3,0.0,0,0,0.0,2,2,1.0,3,3,6,0,0,2,1,5,2,-8,10:05,0.258,0.0,0.0,0.667,27.5,31.7,29.4,0.0,0.0,17.0,20.5,21.2,77.0,81.0,20191023
9,Georges Niang,Utah Jazz,2:40,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,2:40,0.0,0.0,0.0,0.0,0.0,40.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,95.0,20191023
10,Stanton Kidd,Utah Jazz,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
11,Nigel Williams-Goss,Utah Jazz,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
12,Tony Bradley,Utah Jazz,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191023
13,Team Totals,Utah Jazz,240,40,90,0.444,6,24,0.25,14,20,0.7,11,38,49,15,4,5,11,31,100,0,240,0.506,0.478,0.267,0.222,21.2,84.4,50.5,37.5,4.0,8.9,10.0,100.0,101.2,96.2,20191023
14,Donovan Mitchell,Utah Jazz,33:58,7,15,0.467,0,2,0.0,10,10,1.0,0,5,5,3,3,1,1,2,24,-3,33:58,0.619,0.467,0.133,0.667,0.0,14.7,8.6,22.2,4.4,2.4,4.9,28.5,123.0,92.0,20191025
15,Rudy Gobert,Utah Jazz,32:24,4,8,0.5,0,0,0.0,0,1,0.0,0,9,9,3,2,0,3,3,8,-2,32:24,0.474,0.5,0.0,0.125,0.0,27.8,16.3,19.3,3.1,0.0,26.2,16.7,74.0,92.0,20191025
16,Mike Conley,Utah Jazz,31:15,3,11,0.273,1,5,0.2,6,6,1.0,1,3,4,3,0,0,4,1,13,-14,31:15,0.477,0.318,0.455,0.545,4.5,9.6,7.5,18.9,0.0,0.0,22.7,26.8,83.0,105.0,20191025
17,Joe Ingles,Utah Jazz,28:23,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,4,0,0,2,3,2,-9,28:23,0.5,0.5,0.5,0.0,0.0,10.6,6.2,24.8,0.0,0.0,50.0,6.7,81.0,104.0,20191025
18,Jeff Green,Utah Jazz,23:23,2,7,0.286,1,2,0.5,0,0,0.0,0,3,3,1,1,0,3,3,5,2,23:23,0.357,0.357,0.286,0.0,0.0,12.8,7.5,8.2,2.1,0.0,30.0,20.3,51.0,99.0,20191025
19,Royce O'Neale,Utah Jazz,26:41,3,8,0.375,2,5,0.4,0,0,0.0,0,3,3,0,0,0,2,4,8,-17,26:41,0.5,0.5,0.625,0.0,0.0,11.2,6.6,0.0,0.0,0.0,20.0,17.8,71.0,104.0,20191025
20,Georges Niang,Utah Jazz,23:02,2,5,0.4,2,5,0.4,4,4,1.0,0,2,2,1,0,0,2,4,10,-14,23:02,0.74,0.6,1.0,0.8,0.0,8.7,5.1,8.4,0.0,0.0,22.8,18.0,112.0,105.0,20191025
21,Emmanuel Mudiay,Utah Jazz,15:32,5,10,0.5,2,5,0.4,0,0,0.0,0,2,2,2,1,0,4,2,12,5,15:32,0.6,0.6,0.5,0.0,0.0,12.9,7.5,45.6,3.2,0.0,28.6,42.7,77.0,96.0,20191025
22,Ed Davis,Utah Jazz,10:08,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,0,1,0,1,2,2,-15,10:08,0.5,0.5,0.0,0.0,27.9,19.7,23.1,0.0,4.9,0.0,33.3,14.0,91.0,90.0,20191025
23,Tony Bradley,Utah Jazz,5:28,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,8,5:28,1.0,1.0,0.0,0.0,0.0,36.6,21.4,0.0,0.0,0.0,0.0,8.7,200.0,96.0,20191025
24,Jarrell Brantley,Utah Jazz,4:39,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,0,0,7,4:39,0.0,0.0,0.0,0.0,0.0,64.5,37.8,35.6,0.0,17.2,0.0,0.0,228.0,74.0,20191025
25,Stanton Kidd,Utah Jazz,4:39,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,7,4:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,0.0,10.2,47.0,108.0,20191025
26,Nigel Williams-Goss,Utah Jazz,0:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,20191025
27,Team Totals,Utah Jazz,240,29,70,0.414,8,25,0.32,20,21,0.952,3,37,40,19,8,2,22,25,86,0,240,0.543,0.471,0.357,0.3,8.8,77.1,48.8,65.5,8.3,3.3,21.7,100.0,88.9,98.3,20191025
28,Donovan Mitchell,Utah Jazz,25:35,6,9,0.667,3,3,1.0,0,0,0.0,0,1,1,4,1,0,1,1,15,36,25:35,0.833,0.833,0.333,0.0,0.0,4.0,2.5,22.9,1.9,0.0,10.0,18.0,149.0,84.0,20191026
29,Rudy Gobert,Utah Jazz,25:03,3,3,1.0,0,0,0.0,0,0,0.0,1,5,6,2,0,1,4,3,6,16,25:03,1.0,1.0,0.0,0.0,7.1,20.4,15.5,10.0,0.0,3.5,57.1,12.9,93.0,81.0,20191026
30,Bojan Bogdanović,Utah Jazz,24:19,10,18,0.556,5,9,0.556,1,1,1.0,0,4,4,1,1,0,1,3,26,32,24:19,0.705,0.694,0.5,0.056,0.0,16.8,10.7,8.1,2.0,0.0,5.1,36.8,119.0,81.0,20191026
31,Mike Conley,Utah Jazz,24:12,5,11,0.455,2,6,0.333,0,0,0.0,0,3,3,8,0,0,2,1,12,26,24:12,0.545,0.545,0.545,0.0,0.0,12.7,8.0,46.6,0.0,0.0,15.4,24.7,117.0,86.0,20191026
32,Royce O'Neale,Utah Jazz,22:57,3,3,1.0,1,1,1.0,0,0,0.0,0,4,4,3,1,0,2,3,7,17,22:57,1.167,1.167,0.333,0.0,0.0,17.8,11.3,16.6,2.1,0.0,40.0,10.0,139.0,80.0,20191026
33,Joe Ingles,Utah Jazz,25:27,2,5,0.4,2,5,0.4,2,2,1.0,0,4,4,3,3,0,1,1,8,10,25:27,0.68,0.6,1.0,0.4,0.0,16.1,10.2,14.1,5.7,0.0,14.5,12.4,128.0,73.0,20191026
34,Emmanuel Mudiay,Utah Jazz,23:48,4,11,0.364,0,3,0.0,2,2,1.0,1,3,4,4,0,0,4,4,10,6,23:48,0.421,0.364,0.273,0.182,7.5,12.9,10.9,22.5,0.0,0.0,25.2,30.7,81.0,86.0,20191026
35,Ed Davis,Utah Jazz,18:15,1,1,1.0,0,0,0.0,0,2,0.0,0,7,7,0,0,0,1,2,2,14,18:15,0.532,1.0,0.0,2.0,0.0,39.2,24.9,0.0,0.0,0.0,34.7,7.3,53.0,80.0,20191026
36,Jeff Green,Utah Jazz,18:05,3,5,0.6,3,4,0.75,0,2,0.0,0,3,3,1,0,0,1,1,9,1,18:05,0.765,0.9,0.8,0.4,0.0,16.9,10.8,7.4,0.0,0.0,14.5,17.5,114.0,85.0,20191026
37,Georges Niang,Utah Jazz,15:30,5,7,0.714,2,4,0.5,0,0,0.0,0,3,3,1,0,0,1,0,12,1,15:30,0.857,0.857,0.571,0.0,0.0,19.8,12.6,10.9,0.0,0.0,12.5,23.8,133.0,85.0,20191026
38,Stanton Kidd,Utah Jazz,7:25,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,1,0,-3,7:25,0.0,0.0,0.5,0.0,0.0,27.5,17.5,0.0,0.0,0.0,50.0,24.8,0.0,83.0,20191026
39,Tony Bradley,Utah Jazz,4:42,2,2,1.0,0,0,0.0,2,3,0.667,0,2,2,0,0,0,1,1,6,2,4:42,0.904,1.0,0.0,1.5,0.0,43.5,27.6,0.0,0.0,0.0,23.1,42.3,125.0,79.0,20191026
40,Nigel Williams-Goss,Utah Jazz,4:42,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,2,4:42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,9.8,65.0,89.0,20191026
