,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
0,Lauri Markkanen,Chicago Bulls,34:22,13,25,0.52,1,7,0.143,8,10,0.8,5,12,17,2,1,0,1,1,35,-8,34:22,0.595,0.54,0.28,0.4,13.4,44.1,26.4,9.1,1.4,0.0,3.3,34.1,136.0,121.0,20191023
1,Zach LaVine,Chicago Bulls,30:00,7,17,0.412,1,4,0.25,1,1,1.0,3,3,6,7,2,1,5,3,16,-8,30:00,0.459,0.441,0.235,0.059,9.2,12.6,10.7,29.6,3.1,3.6,22.3,28.8,96.0,121.0,20191023
2,Wendell Carter Jr.,Chicago Bulls,29:25,5,11,0.455,0,0,0.0,2,2,1.0,5,4,9,0,0,1,1,4,12,2,29:25,0.505,0.455,0.0,0.182,15.7,17.2,16.3,0.0,0.0,3.7,7.8,16.9,120.0,128.0,20191023
3,Otto Porter Jr.,Chicago Bulls,27:43,3,10,0.3,1,5,0.2,2,2,1.0,0,2,2,1,2,1,0,2,9,14,27:43,0.414,0.35,0.5,0.2,0.0,9.1,3.8,4.0,3.4,3.9,0.0,15.1,107.0,121.0,20191023
4,Tomáš Satoranský,Chicago Bulls,24:22,1,5,0.2,0,0,0.0,0,0,0.0,0,0,0,3,0,1,0,2,2,4,24:22,0.2,0.2,0.0,0.0,0.0,0.0,0.0,12.6,0.0,4.5,0.0,7.9,84.0,131.0,20191023
5,Coby White,Chicago Bulls,27:09,6,13,0.462,1,4,0.25,4,5,0.8,0,3,3,7,0,0,1,2,17,6,27:09,0.559,0.5,0.308,0.385,0.0,14.0,5.9,32.2,0.0,0.0,6.2,23.0,132.0,131.0,20191023
6,Thaddeus Young,Chicago Bulls,25:24,7,11,0.636,3,5,0.6,0,0,0.0,1,2,3,2,1,0,1,1,17,12,25:24,0.773,0.773,0.455,0.0,3.6,9.9,6.3,10.6,1.9,0.0,8.3,18.2,150.0,127.0,20191023
7,Kris Dunn,Chicago Bulls,23:50,5,7,0.714,0,2,0.0,1,2,0.5,1,1,2,2,4,0,0,3,11,-8,23:50,0.698,0.714,0.286,0.286,3.9,5.3,4.5,10.3,7.9,0.0,0.0,12.7,156.0,113.0,20191023
8,Ryan Arcidiacono,Chicago Bulls,10:56,2,3,0.667,2,2,1.0,0,0,0.0,3,0,3,1,1,0,0,1,6,-11,10:56,1.0,1.0,0.667,0.0,25.3,0.0,14.6,10.9,4.3,0.0,0.0,10.6,211.0,123.0,20191023
9,Luke Kornet,Chicago Bulls,6:49,0,3,0.0,0,1,0.0,0,0,0.0,2,2,4,0,0,0,1,1,0,-8,6:49,0.0,0.0,0.333,0.0,27.1,37.1,31.3,0.0,0.0,0.0,25.0,22.6,36.0,126.0,20191023
